shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,frame_index,timestamp_ms,lift_phase,low_visibility,in_lift_phase
0.1205,0.4016,0.1143,0.5937,1.9,43.1,0.198,0,0,0,clean_catch,0,False
0.124,0.4004,0.1213,0.5847,0.9,44.1,0.187,0,3,50,clean_catch,0,False
0.1223,0.3991,0.1239,0.5856,0.5,44.5,0.188,0,6,100,clean_catch,0,False
0.1224,0.4002,0.1178,0.585,1.4,43.6,0.189,0,9,150,clean_catch,0,False
0.1208,0.4023,0.1135,0.5954,2.2,42.8,0.2,0,12,200,clean_catch,0,False
0.1245,0.4018,0.1266,0.5875,0.7,44.3,0.188,0,15,250,clean_catch,0,False
0.1195,0.4015,0.1159,0.5906,1.1,43.9,0.193,0,18,300,clean_catch,0,False
0.1211,0.4018,0.1197,0.5948,0.4,44.6,0.194,0,21,350,clean_catch,0,False
0.122,0.4004,0.1215,0.5906,0.2,44.8,0.191,0,24,400,clean_catch,0,False
0.1233,0.4017,0.1244,0.5879,0.4,44.6,0.187,0,27,450,clean_catch,0,False
0.1222,0.399,0.1251,0.584,0.9,44.1,0.188,0,30,500,clean_catch,0,False
0.1227,0.398,0.1268,0.5819,1.3,43.7,0.188,0,33,550,clean_catch,0,False
0.1219,0.4015,0.1271,0.5913,1.6,43.4,0.195,0,36,600,clean_catch,0,False
0.1243,0.3997,0.1281,0.5939,1.2,43.8,0.198,0,39,650,clean_catch,0,False
0.5252,0.6018,0.5314,0.6729,5.0,40.0,0.077,0,42,700,clean_catch,0,False
0.5264,0.6016,0.5294,0.6723,2.5,42.5,0.074,0,45,751,clean_catch,0,False
0.5255,0.6002,0.5351,0.68,6.9,38.1,0.089,0,48,801,clean_catch,0,False
0.5257,0.5953,0.5268,0.6738,0.9,44.1,0.08,0,51,851,clean_catch,0,False
0.5266,0.5968,0.5269,0.6812,0.3,44.7,0.085,0,54,901,clean_catch,0,False
0.5259,0.6007,0.5282,0.6927,1.5,43.5,0.094,0,57,951,clean_catch,0,False
0.5261,0.5953,0.5255,0.6708,0.6,44.4,0.076,0,60,1001,clean_catch,0,False
0.5248,0.5909,0.5289,0.6701,3.0,42.0,0.083,0,63,1051,clean_catch,0,False
0.526,0.5965,0.5246,0.6605,1.3,43.7,0.065,0,66,1101,clean_catch,0,False
0.5247,0.5939,0.5229,0.648,2.0,43.0,0.056,0,69,1151,clean_catch,0,False
0.5246,0.593,0.524,0.633,0.9,44.1,0.041,0,72,1201,clean_catch,0,False
0.525,0.5879,0.5225,0.6306,3.4,41.6,0.045,0,75,1251,clean_catch,0,False
0.5255,0.5821,0.5222,0.621,4.9,40.1,0.042,0,78,1301,clean_catch,0,False
0.5247,0.5729,0.5225,0.6153,2.9,42.1,0.045,0,81,1351,clean_catch,0,False
0.5251,0.5573,0.522,0.608,3.4,41.6,0.054,0,84,1401,clean_catch,0,False
0.5243,0.5414,0.5217,0.6028,2.4,42.6,0.064,0,87,1451,clean_catch,0,False
0.5231,0.5239,0.5201,0.5968,2.4,42.6,0.076,0,90,1502,clean_catch,0,False
0.5236,0.5052,0.5235,0.6036,0.3,44.7,0.099,0,93,1552,clean_catch,0,False
0.5229,0.4837,0.5243,0.6191,0.6,44.4,0.137,0,96,1602,clean_catch,0,False
0.5235,0.4641,0.5206,0.6117,1.1,43.9,0.15,0,99,1652,clean_catch,0,False
0.5205,0.4395,0.5252,0.5895,1.8,43.2,0.155,0,102,1702,clean_catch,0,False
0.5212,0.4253,0.5247,0.5781,1.3,43.7,0.156,0,105,1752,clean_catch,0,False
0.5192,0.4243,0.523,0.5764,1.4,43.6,0.156,0,108,1802,clean_catch,0,False
0.5188,0.4326,0.5205,0.5866,0.7,44.3,0.156,0,111,1852,clean_catch,0,False
0.5186,0.4634,0.5237,0.6179,1.9,43.1,0.16,0,114,1902,clean_catch,0,False
0.5205,0.5054,0.5229,0.6416,1.0,44.0,0.139,0,117,1952,clean_catch,0,False
0.5208,0.5313,0.5234,0.6676,1.1,43.9,0.139,0,120,2002,clean_catch,0,False
0.5196,0.5489,0.5245,0.6728,2.3,42.7,0.129,0,123,2052,clean_catch,0,False
0.5217,0.5554,0.5252,0.6845,1.6,43.4,0.133,0,126,2102,clean_catch,0,False
0.5201,0.5673,0.5241,0.696,1.8,43.2,0.133,0,129,2152,clean_catch,0,False
0.5213,0.581,0.5283,0.7157,3.0,42.0,0.142,0,132,2202,clean_catch,0,False
0.5207,0.5922,0.5256,0.7261,2.1,42.9,0.139,0,135,2253,clean_catch,0,False
0.5208,0.6029,0.5246,0.7348,1.7,43.3,0.136,0,138,2303,clean_catch,0,False
0.5209,0.6169,0.5249,0.7439,1.8,43.2,0.131,0,141,2353,clean_catch,0,False
0.5195,0.6172,0.522,0.7468,1.1,43.9,0.132,0,144,2403,clean_catch,0,False
0.5192,0.6227,0.5226,0.7464,1.6,43.4,0.127,0,147,2453,clean_catch,0,False
0.5194,0.6139,0.5245,0.7419,2.3,42.7,0.133,0,150,2503,clean_catch,0,False
0.5187,0.6072,0.5214,0.7376,1.2,43.8,0.133,0,153,2553,clean_catch,0,False
0.5216,0.6007,0.5269,0.7245,2.5,42.5,0.129,0,156,2603,clean_catch,0,False
0.5213,0.5929,0.526,0.7202,2.1,42.9,0.132,0,159,2653,clean_catch,0,False
0.5214,0.5852,0.5277,0.7107,2.9,42.1,0.132,0,162,2703,clean_catch,0,False
0.5217,0.5808,0.5259,0.6996,2.0,43.0,0.123,0,165,2753,clean_catch,0,False
0.5191,0.5706,0.5243,0.6957,2.4,42.6,0.13,0,168,2803,clean_catch,0,False
0.5205,0.5641,0.5234,0.6872,1.4,43.6,0.126,0,171,2853,clean_catch,0,False
0.5206,0.5564,0.5237,0.6775,1.5,43.5,0.124,0,174,2903,clean_catch,0,False
0.5207,0.5452,0.5237,0.6736,1.4,43.6,0.131,0,177,2953,clean_catch,0,False
0.5197,0.5341,0.5239,0.6658,1.8,43.2,0.136,0,180,3004,clean_catch,0,False
0.5182,0.5233,0.5211,0.6589,1.3,43.7,0.139,0,183,3054,clean_catch,0,False
0.5177,0.5127,0.5227,0.6514,2.1,42.9,0.144,0,186,3104,clean_catch,0,False
0.5156,0.5011,0.5224,0.6417,2.8,42.2,0.148,0,189,3154,clean_catch,0,False
0.5169,0.4872,0.5233,0.6307,2.6,42.4,0.15,0,192,3204,clean_catch,0,False
0.5154,0.4722,0.5197,0.6199,1.7,43.3,0.152,0,195,3254,clean_catch,0,False
0.514,0.4561,0.5178,0.6025,1.5,43.5,0.15,0,198,3304,clean_catch,0,False
0.5137,0.4452,0.5173,0.5941,1.4,43.6,0.153,0,201,3354,clean_catch,0,False
0.5149,0.4368,0.5177,0.5911,1.0,44.0,0.157,0,204,3404,clean_catch,0,False
0.514,0.4311,0.5165,0.5857,0.9,44.1,0.157,0,207,3454,clean_catch,0,False
0.5131,0.4301,0.5136,0.5896,0.3,44.7,0.16,0,210,3504,clean_catch,0,False
0.5131,0.4323,0.5137,0.5902,0.3,44.7,0.158,0,213,3554,clean_catch,0,False
0.5126,0.4322,0.514,0.5878,0.6,44.4,0.157,0,216,3604,clean_catch,0,False
0.5127,0.4336,0.5131,0.5894,0.3,44.7,0.156,0,219,3654,clean_catch,0,False
0.5122,0.4343,0.5123,0.5892,0.2,44.8,0.155,0,222,3705,clean_catch,0,False
0.5124,0.4311,0.5126,0.5896,0.2,44.8,0.159,0,225,3755,clean_catch,0,False
0.5112,0.4301,0.512,0.5903,0.3,44.7,0.161,0,228,3805,clean_catch,0,False
0.5114,0.4308,0.5128,0.5894,0.5,44.5,0.16,0,231,3855,clean_catch,0,False
0.5105,0.4304,0.5132,0.5879,1.0,44.0,0.16,0,234,3905,clean_catch,0,False
0.5113,0.4308,0.5125,0.5892,0.5,44.5,0.16,0,237,3955,clean_catch,0,False
0.5111,0.4325,0.5122,0.5897,0.4,44.6,0.158,0,240,4005,clean_catch,0,False
0.5113,0.4325,0.5128,0.5904,0.6,44.4,0.159,0,243,4055,clean_catch,0,False
0.5115,0.4323,0.5131,0.5906,0.6,44.4,0.16,0,246,4105,clean_catch,0,False
0.5116,0.432,0.5124,0.5886,0.4,44.6,0.157,0,249,4155,clean_catch,0,False
0.5116,0.4322,0.5127,0.5913,0.5,44.5,0.16,0,252,4205,clean_catch,0,False
0.5124,0.4318,0.5122,0.5918,0.2,44.8,0.16,0,255,4255,clean_catch,0,False
0.5119,0.4312,0.5124,0.5891,0.3,44.7,0.158,0,258,4305,clean_catch,0,False
0.5118,0.4317,0.5118,0.5893,0.2,44.8,0.158,0,261,4355,clean_catch,0,False
0.5128,0.4312,0.5124,0.5889,0.3,44.7,0.158,0,264,4405,clean_catch,0,False
0.5123,0.4353,0.5132,0.5888,0.4,44.6,0.154,0,267,4456,clean_catch,0,False
0.5131,0.4406,0.5147,0.592,0.6,44.4,0.153,0,270,4506,clean_catch,0,False
0.5127,0.4467,0.5136,0.5997,0.4,44.6,0.154,0,273,4556,clean_catch,0,False
0.5137,0.4577,0.515,0.6082,0.5,44.5,0.152,0,276,4606,clean_catch,0,False
0.5131,0.472,0.5152,0.6194,0.8,44.2,0.149,0,279,4656,clean_catch,0,False
0.5141,0.4818,0.5164,0.6299,0.9,44.1,0.15,0,282,4706,clean_catch,0,False
0.5141,0.4879,0.5146,0.6324,0.3,44.7,0.145,0,285,4756,clean_catch,0,False
0.5138,0.4885,0.5148,0.6343,0.4,44.6,0.147,0,288,4806,clean_catch,0,False
0.5141,0.4848,0.5156,0.6311,0.6,44.4,0.148,0,291,4856,clean_catch,0,False
0.5134,0.4745,0.5165,0.6227,1.2,43.8,0.151,0,294,4906,clean_catch,0,False
0.5142,0.4559,0.5161,0.6057,0.8,44.2,0.152,0,297,4956,clean_catch,0,False
0.5129,0.4363,0.5153,0.5885,0.9,44.1,0.155,0,300,5006,clean_catch,0,False
0.5142,0.4193,0.5147,0.5761,0.3,44.7,0.157,0,303,5056,clean_catch,0,False
0.5133,0.4112,0.5139,0.5667,0.3,44.7,0.156,0,306,5106,clean_catch,0,False
0.5127,0.4212,0.515,0.5703,0.9,44.1,0.151,0,309,5156,clean_catch,0,False
0.5143,0.443,0.5178,0.5898,1.4,43.6,0.15,0,312,5207,clean_catch,0,False
0.5162,0.4633,0.5178,0.605,0.7,44.3,0.143,0,315,5257,clean_catch,0,False
0.5166,0.476,0.5178,0.6124,0.6,44.4,0.138,0,318,5307,clean_catch,0,False
0.516,0.4867,0.5177,0.6221,0.7,44.3,0.137,0,321,5357,clean_catch,0,False
0.5159,0.4861,0.5183,0.6203,1.1,43.9,0.137,0,324,5407,clean_catch,0,False
0.5141,0.4884,0.5174,0.6274,1.4,43.6,0.142,0,327,5457,clean_catch,0,False
0.5145,0.494,0.5176,0.6341,1.3,43.7,0.143,0,330,5507,clean_catch,0,False
0.5165,0.4949,0.5163,0.6329,0.2,44.8,0.138,0,333,5557,clean_catch,0,False
0.516,0.4975,0.5156,0.6356,0.3,44.7,0.139,0,336,5607,clean_catch,0,False
0.5167,0.4922,0.5167,0.6348,0.2,44.8,0.143,0,339,5657,clean_catch,0,False
0.5171,0.4917,0.5169,0.6346,0.2,44.8,0.143,0,342,5707,clean_catch,0,False
0.5161,0.4892,0.5185,0.6334,1.0,44.0,0.147,0,345,5757,clean_catch,0,False
0.5171,0.4946,0.5188,0.6329,0.7,44.3,0.14,0,348,5807,clean_catch,0,False
0.5161,0.4907,0.5198,0.6303,1.5,43.5,0.143,0,351,5857,clean_catch,0,False
0.5171,0.4918,0.5197,0.6292,1.1,43.9,0.14,0,354,5907,clean_catch,0,False
0.5178,0.4895,0.5193,0.6255,0.7,44.3,0.138,0,357,5958,clean_catch,0,False
0.5177,0.49,0.5189,0.6256,0.5,44.5,0.137,0,360,6008,clean_catch,0,False
0.5158,0.487,0.5188,0.6258,1.2,43.8,0.142,0,363,6058,clean_catch,0,False
0.5157,0.4833,0.5189,0.6246,1.3,43.7,0.145,0,366,6108,clean_catch,0,False
0.5164,0.4827,0.5194,0.6217,1.2,43.8,0.142,0,369,6158,clean_catch,0,False
0.5161,0.4821,0.5179,0.6157,0.8,44.2,0.135,0,372,6208,clean_catch,0,False
0.5156,0.4785,0.5166,0.6122,0.5,44.5,0.135,0,375,6258,clean_catch,0,False
0.5155,0.4657,0.5179,0.6063,1.0,44.0,0.143,0,378,6308,clean_catch,0,False
0.5153,0.4551,0.5172,0.6,0.8,44.2,0.147,0,381,6358,clean_catch,0,False
0.5136,0.4448,0.515,0.5908,0.6,44.4,0.147,0,384,6408,clean_catch,0,False
0.5126,0.4369,0.5138,0.5832,0.5,44.5,0.147,0,387,6458,clean_catch,0,False
0.5106,0.4319,0.5123,0.5808,0.7,44.3,0.151,0,390,6508,clean_catch,0,False
0.5101,0.4272,0.5115,0.5703,0.6,44.4,0.144,0,393,6558,clean_catch,0,False
0.51,0.4248,0.5115,0.5697,0.6,44.4,0.146,0,396,6608,clean_catch,0,False
0.5095,0.4237,0.5121,0.573,1.0,44.0,0.152,0,399,6658,clean_catch,0,False
0.5096,0.4234,0.5129,0.5746,1.2,43.8,0.154,0,402,6709,clean_catch,0,False
0.509,0.4217,0.511,0.5743,0.8,44.2,0.155,0,405,6759,clean_catch,0,False
0.5095,0.4227,0.5114,0.5747,0.7,44.3,0.154,0,408,6809,clean_catch,0,False
0.5094,0.4192,0.512,0.572,1.0,44.0,0.155,0,411,6859,clean_catch,0,False
0.5086,0.4209,0.5121,0.5773,1.3,43.7,0.16,0,414,6909,clean_catch,0,False
0.5085,0.4174,0.5121,0.5807,1.3,43.7,0.167,0,417,6959,clean_catch,0,False
0.5079,0.4128,0.5113,0.575,1.2,43.8,0.166,0,420,7009,clean_catch,0,False
0.5075,0.4119,0.5095,0.5748,0.7,44.3,0.165,0,423,7059,clean_catch,0,False
0.5073,0.4124,0.5077,0.5748,0.3,44.7,0.163,0,426,7109,clean_catch,0,False
0.505,0.4111,0.5051,0.5776,0.2,44.8,0.167,0,429,7159,clean_catch,0,False
0.5031,0.4119,0.5042,0.5789,0.4,44.6,0.168,0,432,7209,clean_catch,0,False
0.5026,0.411,0.5017,0.5807,0.4,44.6,0.171,0,435,7259,clean_catch,0,False
0.5006,0.41,0.5011,0.5778,0.3,44.7,0.168,0,438,7309,clean_catch,0,False
0.4995,0.4112,0.4999,0.5799,0.2,44.8,0.169,0,441,7359,clean_catch,0,False
0.4981,0.4102,0.4983,0.579,0.2,44.8,0.169,0,444,7410,clean_catch,0,False
0.4972,0.4109,0.4972,0.5805,0.2,44.8,0.17,0,447,7460,clean_catch,0,False
0.4969,0.4104,0.4962,0.5798,0.3,44.7,0.17,0,450,7510,clean_catch,0,False
0.4974,0.4116,0.4958,0.5816,0.6,44.4,0.172,0,453,7560,clean_catch,0,False
0.4964,0.4119,0.4964,0.5803,0.2,44.8,0.168,0,456,7610,clean_catch,0,False
0.4959,0.4118,0.4974,0.5805,0.5,44.5,0.17,0,459,7660,clean_catch,0,False
0.4961,0.4096,0.4972,0.5811,0.4,44.6,0.173,0,462,7710,clean_catch,0,False
0.4965,0.4103,0.4977,0.5822,0.5,44.5,0.173,0,465,7760,clean_catch,0,False
0.4962,0.412,0.4971,0.5815,0.4,44.6,0.17,0,468,7810,clean_catch,0,False
0.4965,0.4099,0.4969,0.5815,0.3,44.7,0.172,0,471,7860,clean_catch,0,False
0.4963,0.4102,0.4973,0.5785,0.4,44.6,0.169,0,474,7910,clean_catch,0,False
0.4969,0.4122,0.4967,0.5774,0.2,44.8,0.165,0,477,7960,clean_catch,0,False
0.4979,0.413,0.4975,0.5776,0.3,44.7,0.165,0,480,8010,clean_catch,0,False
0.4977,0.4116,0.4977,0.5776,0.2,44.8,0.166,0,483,8060,clean_catch,0,False
0.4966,0.4116,0.4992,0.5751,0.9,44.1,0.166,0,486,8110,clean_catch,0,False
0.4971,0.4125,0.4985,0.5714,0.5,44.5,0.16,0,489,8161,clean_catch,0,False
0.4968,0.4157,0.5002,0.5731,1.3,43.7,0.161,0,492,8211,clean_catch,0,False
0.4976,0.4172,0.5019,0.574,1.6,43.4,0.161,0,495,8261,clean_catch,0,False
0.4966,0.4196,0.4992,0.5761,1.0,44.0,0.159,0,498,8311,clean_catch,0,False
0.4971,0.4309,0.5027,0.5841,2.1,42.9,0.159,0,501,8361,clean_catch,0,False
0.5013,0.4369,0.5042,0.5873,1.1,43.9,0.153,0,504,8411,clean_catch,0,False
0.5014,0.4377,0.5067,0.5828,2.1,42.9,0.15,0,507,8461,clean_catch,0,False
0.5019,0.4434,0.5092,0.5827,3.0,42.0,0.147,0,510,8511,clean_catch,0,False
0.5031,0.4465,0.5118,0.5795,3.7,41.3,0.142,0,513,8561,clean_catch,0,False
0.5039,0.4503,0.5099,0.5887,2.5,42.5,0.144,0,516,8611,clean_catch,0,False
0.5042,0.4532,0.5102,0.5887,2.5,42.5,0.141,0,519,8661,clean_catch,0,False
0.5072,0.4628,0.5128,0.5806,2.7,42.3,0.123,0,522,8711,clean_catch,0,False
0.5065,0.4725,0.5125,0.573,3.4,41.6,0.106,0,525,8761,clean_catch,0,False
0.5047,0.4789,0.5089,0.6037,1.9,43.1,0.129,0,528,8811,clean_catch,0,False
0.5055,0.4774,0.5108,0.5858,2.8,42.2,0.114,0,531,8861,clean_catch,0,False
0.5049,0.4802,0.5105,0.5815,3.2,41.8,0.107,0,534,8912,clean_catch,0,False
0.5035,0.4873,0.51,0.5821,4.0,41.0,0.101,0,537,8962,clean_catch,0,False
0.5032,0.4969,0.5113,0.5831,5.4,39.6,0.094,0,540,9012,clean_catch,0,False
0.5035,0.5064,0.5118,0.5872,5.9,39.1,0.089,0,543,9062,clean_catch,0,False
0.5035,0.5153,0.5098,0.5832,5.3,39.7,0.074,0,546,9112,clean_catch,0,False
