frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
1,109.2,135.3,18.8,17.0,26.1,768.5,733.0,750.8,1,1,0
4,103.7,134.8,24.5,14.8,31.1,765.5,731.7,748.6,1,1,0
7,107.3,132.3,20.9,17.4,25.0,771.3,733.6,752.5,1,1,0
10,105.4,134.8,22.8,18.7,29.4,770.7,735.0,752.9,1,1,0
13,101.1,134.2,28.2,14.5,33.1,772.3,735.1,753.7,1,1,1
16,101.1,134.4,31.4,10.5,33.3,767.4,732.4,749.9,1,1,0
19,103.6,132.2,26.8,13.7,28.6,770.4,736.5,753.5,1,1,1
22,156.9,170.4,27.9,52.8,13.5,907.2,851.2,879.2,0,1,0
25,156.5,166.2,21.3,46.3,9.7,909.3,839.1,874.2,0,1,1
28,157.9,161.3,28.8,49.2,3.4,896.1,830.3,863.2,0,1,1
31,159.7,153.9,12.8,28.2,5.8,904.9,822.2,863.5,0,1,1
34,159.9,141.8,9.9,26.6,18.1,911.8,812.3,862.0,1,1,1
37,158.5,143.6,12.2,32.8,14.9,902.5,794.7,848.6,0,1,1
40,161.5,150.7,13.4,33.1,10.8,910.9,805.3,858.1,0,1,1
43,163.0,148.1,8.3,30.9,14.9,886.1,798.7,842.4,0,1,1
46,163.5,150.9,10.1,31.5,12.6,892.1,800.0,846.0,0,1,1
49,164.8,154.5,8.7,30.3,10.3,892.5,811.8,852.1,0,1,1
52,166.9,152.3,5.8,26.3,14.6,899.0,826.6,862.8,0,1,1
55,169.3,150.5,6.3,22.1,18.8,899.4,817.1,858.2,1,1,1
58,165.3,162.6,5.8,20.4,2.7,891.8,819.9,855.8,0,0,1
61,172.9,155.8,8.7,23.3,17.1,903.4,814.4,858.9,1,1,1
64,173.7,147.0,8.0,23.0,26.7,901.4,810.6,856.0,1,1,1
67,175.7,154.9,7.8,23.6,20.8,897.4,829.9,863.6,1,1,1
70,170.6,155.4,5.2,17.0,15.2,893.0,830.8,861.9,1,1,1
73,172.9,162.9,3.6,19.1,10.0,891.2,839.3,865.2,0,0,1
76,175.0,157.9,7.9,21.9,17.1,899.3,828.1,863.7,1,1,1
79,173.0,160.1,8.4,23.6,12.9,882.4,822.0,852.2,0,0,1
82,152.5,152.4,11.3,23.0,0.1,861.6,813.9,837.8,0,1,1
85,173.4,159.7,8.0,23.7,13.7,894.7,818.9,856.8,0,1,1
88,168.0,143.0,3.6,19.1,25.0,894.3,798.6,846.5,1,1,1
91,167.2,155.5,3.9,23.8,11.7,892.0,812.8,852.4,0,1,1
94,163.0,154.8,4.3,23.1,8.2,886.1,823.7,854.9,0,1,1
97,169.2,159.1,4.0,23.8,10.1,887.2,816.6,851.9,0,1,1
100,165.7,156.7,8.0,25.1,9.0,859.2,822.8,841.0,0,1,1
103,174.2,149.1,9.5,23.0,25.1,871.8,808.0,839.9,1,1,1
106,172.6,160.8,6.6,26.8,11.8,892.3,815.5,853.9,0,0,1
109,177.0,167.0,10.7,25.0,10.0,880.0,811.3,845.6,0,0,1
112,165.1,159.1,10.6,24.8,6.0,852.5,809.1,830.8,0,1,1
115,176.7,161.4,10.7,22.4,15.3,881.0,810.3,845.6,1,0,1
118,174.3,159.7,11.6,26.5,14.6,885.1,798.7,841.9,0,1,1
121,172.1,160.1,12.3,23.6,12.0,844.5,812.2,828.4,0,0,1
124,174.1,155.3,12.6,23.8,18.8,848.9,814.2,831.5,1,1,1
127,172.0,158.5,11.1,21.6,13.5,859.5,807.5,833.5,0,1,1
130,167.5,156.9,9.4,19.5,10.6,858.6,811.0,834.8,0,1,1
133,168.1,160.5,12.8,22.5,7.6,854.6,808.0,831.3,0,0,1
136,175.9,160.6,10.7,21.7,15.3,869.4,810.8,840.1,1,0,1
139,168.6,162.6,12.0,24.6,6.0,860.0,809.1,834.5,0,0,1
142,179.0,163.9,9.1,21.0,15.1,884.2,809.5,846.9,1,0,1
145,145.5,166.8,13.8,24.6,21.3,831.3,803.3,817.3,1,1,1
148,159.1,164.4,14.1,23.6,5.3,840.7,811.7,826.2,0,1,1
151,152.7,164.5,16.4,27.0,11.8,846.1,813.2,829.7,0,1,1
154,161.8,150.1,12.4,20.3,11.7,860.0,817.0,838.5,0,1,1
157,176.4,159.5,9.7,24.5,16.9,894.2,818.6,856.4,1,1,1
160,177.1,154.6,12.4,23.4,22.5,892.7,818.8,855.8,1,1,1
163,176.1,160.2,10.2,22.9,15.9,876.1,821.1,848.6,1,0,1
166,147.1,160.5,11.4,23.7,13.4,853.1,813.2,833.2,0,1,1
169,178.4,161.5,12.5,22.8,16.9,866.7,813.8,840.2,1,0,1
172,155.2,159.0,11.8,24.8,3.8,865.4,818.8,842.1,0,1,1
175,179.4,160.2,13.4,25.3,19.2,890.3,823.9,857.1,1,0,1
