frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
1,158.8,177.8,165.1,169.6,19.0,867.3,879.5,873.4,1,1,0
4,160.9,176.3,169.5,172.6,15.4,870.1,876.6,873.4,1,0,0
7,157.5,170.7,169.8,168.9,13.2,866.3,874.9,870.6,0,1,0
10,140.8,160.5,176.9,166.8,19.7,872.0,877.4,874.7,1,1,0
13,161.3,159.8,160.6,160.7,1.5,861.1,881.6,871.4,0,1,0
16,170.1,170.5,145.8,141.1,0.4,874.3,879.1,876.7,0,0,0
19,163.3,176.5,157.7,179.1,13.2,865.2,886.6,875.9,0,0,0
22,170.0,171.1,157.2,169.0,1.1,865.8,889.0,877.4,0,0,0
25,168.2,167.5,152.6,145.8,0.7,870.8,875.9,873.3,0,0,0
28,169.2,177.6,170.8,169.0,8.4,874.8,887.9,881.3,0,0,0
31,153.2,167.6,179.4,169.4,14.4,863.8,884.7,874.2,0,1,0
34,168.8,179.9,177.0,178.6,11.1,875.5,883.0,879.2,0,0,0
37,165.7,171.3,176.1,175.8,5.6,870.6,885.6,878.1,0,0,0
40,160.5,179.8,179.7,172.9,19.3,868.8,882.4,875.6,1,0,0
43,172.7,165.3,166.8,167.1,7.4,866.6,881.4,874.0,0,0,0
46,169.9,177.7,172.6,169.0,7.8,870.4,887.2,878.8,0,0,0
49,169.5,167.6,171.2,159.6,1.9,874.6,886.1,880.4,0,0,0
52,171.9,171.0,169.2,173.8,0.9,872.4,886.2,879.3,0,0,0
55,168.4,171.2,166.5,161.1,2.8,869.8,885.5,877.6,0,0,0
58,169.2,166.8,154.9,148.0,2.4,867.9,885.1,876.5,0,0,0
61,175.3,177.1,164.0,163.0,1.8,860.7,885.7,873.2,0,0,0
64,167.4,175.6,166.6,167.7,8.2,864.1,882.2,873.2,0,0,0
67,174.2,167.7,160.4,154.9,6.5,861.0,885.0,873.0,0,0,0
70,170.9,175.4,167.9,168.2,4.5,868.3,883.9,876.1,0,0,0
73,175.2,179.1,165.9,170.2,3.9,870.5,884.6,877.5,0,0,0
76,172.9,162.1,166.9,179.5,10.8,870.2,885.4,877.8,0,0,0
79,172.6,177.4,171.7,173.4,4.8,869.5,888.4,879.0,0,0,0
82,175.7,166.1,164.5,177.2,9.6,865.5,888.0,876.8,0,0,0
85,175.1,178.4,167.9,171.0,3.3,872.9,883.7,878.3,0,0,0
88,170.8,177.2,164.1,169.8,6.4,865.4,886.1,875.8,0,0,0
91,175.4,179.2,162.7,173.4,3.8,869.0,891.8,880.4,0,0,0
94,172.7,178.6,166.2,168.1,5.9,863.4,886.8,875.1,0,0,0
97,163.8,169.9,163.6,177.4,6.1,865.3,884.4,874.8,0,0,0
100,169.3,175.4,160.8,172.5,6.1,866.6,885.9,876.2,0,0,0
103,170.5,177.2,159.9,176.7,6.7,862.9,889.4,876.1,0,0,0
106,166.2,171.3,158.9,175.4,5.1,865.8,887.3,876.5,0,0,0
109,167.6,178.1,167.6,177.5,10.5,861.1,882.6,871.9,0,0,0
112,163.8,179.6,175.8,170.1,15.8,859.4,874.6,867.0,1,0,0
115,169.3,140.3,178.5,153.8,29.0,800.0,633.4,716.7,1,1,0
118,172.8,151.1,177.8,160.0,21.7,839.6,738.9,789.2,1,1,0
121,164.2,144.2,166.6,164.0,20.0,851.9,797.5,824.7,1,1,0
124,179.3,156.3,171.2,92.8,23.0,879.2,817.6,848.4,1,1,0
127,173.8,35.6,147.9,149.0,138.2,852.6,631.1,741.9,1,1,1
130,159.3,168.2,138.6,15.0,8.9,845.3,773.2,809.2,0,1,1
133,159.2,179.0,117.8,48.0,19.8,687.4,629.2,658.3,1,1,1
136,121.8,125.3,131.6,135.0,3.5,644.0,669.7,656.9,0,1,0
139,162.8,169.4,166.0,142.5,6.6,744.6,749.5,747.0,0,0,0
142,116.3,165.9,74.0,179.1,49.6,680.0,805.9,743.0,1,1,1
145,177.1,168.7,142.5,178.7,8.4,844.1,860.0,852.0,0,0,0
148,176.3,163.1,146.3,159.8,13.2,766.0,755.8,760.9,0,0,0
151,172.8,171.4,87.3,51.9,1.4,846.5,868.6,857.5,0,0,0
154,170.6,172.6,79.2,53.5,2.0,847.8,864.3,856.0,0,0,0
157,166.6,169.0,51.0,47.2,2.4,852.7,828.5,840.6,0,0,0
160,168.0,169.9,64.9,41.3,1.9,849.8,865.2,857.5,0,0,0
163,171.0,171.3,60.7,46.5,0.3,852.1,867.5,859.8,0,0,0
166,171.4,169.4,63.8,41.6,2.0,852.5,862.5,857.5,0,0,0
169,173.5,174.6,58.9,41.4,1.1,847.8,862.8,855.3,0,0,0
172,171.8,172.4,54.3,41.6,0.6,852.5,863.1,857.8,0,0,0
175,171.9,178.3,51.7,41.3,6.4,848.3,865.1,856.7,0,0,0
178,174.7,174.1,53.5,42.7,0.6,849.2,865.5,857.4,0,0,0
181,174.5,179.7,51.5,36.3,5.2,851.9,863.2,857.5,0,0,0
184,173.7,175.5,54.4,37.1,1.8,846.3,864.2,855.2,0,0,0
187,177.0,171.6,47.6,43.2,5.4,852.8,863.9,858.3,0,0,0
190,175.2,172.4,50.3,40.8,2.8,849.1,862.5,855.8,0,0,0
193,174.2,174.6,50.8,40.0,0.4,852.1,864.6,858.4,0,0,0
196,170.9,175.2,58.0,36.5,4.3,851.6,861.4,856.5,0,0,0
199,174.8,175.9,51.0,42.2,1.1,849.5,866.3,857.9,0,0,0
202,175.7,179.1,52.6,38.8,3.4,847.3,861.8,854.5,0,0,0
205,176.1,178.8,51.7,39.7,2.7,848.3,860.8,854.5,0,0,0
208,175.4,177.5,51.9,39.5,2.1,848.2,858.9,853.5,0,0,0
211,173.4,176.3,52.7,40.1,2.9,848.3,861.9,855.1,0,0,0
214,170.2,180.0,53.5,42.3,9.8,852.2,866.9,859.5,0,0,0
217,176.2,178.3,48.6,37.6,2.1,848.2,860.6,854.4,0,0,0
220,176.5,174.7,46.9,42.7,1.8,849.4,861.9,855.6,0,0,0
223,177.5,175.8,46.7,44.2,1.7,848.2,867.5,857.9,0,0,0
226,175.9,177.1,46.4,40.7,1.2,850.4,864.0,857.2,0,0,0
229,176.9,178.1,47.2,38.5,1.2,852.5,859.8,856.1,0,0,0
232,175.7,178.1,48.6,38.8,2.4,852.4,865.8,859.1,0,0,0
235,175.3,178.7,47.2,40.2,3.4,851.7,866.6,859.2,0,0,0
238,170.4,179.9,52.3,41.3,9.5,850.9,863.9,857.4,0,0,0
