frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
4,152.5,148.6,123.0,68.1,3.9,929.5,904.0,916.8,0,1,0
7,176.9,157.2,90.7,117.6,19.7,939.1,930.7,934.9,1,1,0
10,162.3,133.5,115.6,77.8,28.8,941.7,909.6,925.7,1,1,0
19,176.3,173.0,35.4,66.6,3.3,904.1,908.8,906.5,0,0,0
22,173.4,178.0,52.5,68.9,4.6,911.0,904.4,907.7,0,0,0
25,172.6,179.8,57.8,70.0,7.2,909.3,896.2,902.8,0,0,0
28,169.7,179.8,56.4,67.4,10.1,911.6,896.9,904.2,0,0,0
31,172.4,178.7,59.5,62.9,6.3,902.0,897.9,900.0,0,0,0
34,173.9,179.1,64.8,61.2,5.2,899.0,896.9,898.0,0,0,0
37,170.7,179.0,67.5,63.2,8.3,898.4,895.7,897.0,0,0,0
40,168.5,178.8,57.4,59.0,10.3,897.7,895.5,896.6,0,0,0
43,169.3,176.7,63.1,61.5,7.4,904.3,895.9,900.1,0,0,0
46,169.1,174.5,66.4,65.3,5.4,901.2,893.8,897.5,0,0,0
49,169.2,176.4,65.2,64.0,7.2,894.2,893.2,893.7,0,0,0
52,169.5,176.5,60.7,63.6,7.0,894.0,892.0,893.0,0,0,0
55,167.9,173.8,64.2,64.1,5.9,896.0,893.7,894.9,0,0,0
58,164.5,172.3,63.4,59.7,7.8,897.9,893.4,895.6,0,0,0
61,167.8,173.4,65.7,60.6,5.6,899.6,893.3,896.5,0,0,0
64,166.2,170.1,65.0,61.4,3.9,900.7,899.6,900.2,0,0,0
67,166.9,170.5,57.9,57.7,3.6,894.9,896.2,895.5,0,0,0
70,164.1,171.3,56.9,59.4,7.2,896.4,893.9,895.1,0,0,0
73,165.4,167.0,57.6,59.9,1.6,894.2,896.7,895.5,0,0,0
76,165.5,166.9,60.0,58.5,1.4,895.1,891.2,893.2,0,0,0
79,163.2,161.3,60.0,56.5,1.9,894.9,894.9,894.9,0,0,0
82,160.5,164.2,58.8,58.8,3.7,894.9,886.1,890.5,0,0,0
85,162.0,159.9,57.0,56.2,2.1,890.8,891.2,891.0,0,1,0
88,160.8,162.8,55.7,57.9,2.0,901.8,888.9,895.3,0,0,0
91,165.5,163.7,55.2,57.7,1.8,898.7,890.0,894.4,0,0,0
94,168.2,166.8,54.2,54.3,1.4,896.8,890.2,893.5,0,0,0
97,172.6,171.1,51.0,51.8,1.5,897.5,895.7,896.6,0,0,0
100,176.4,174.1,51.4,52.6,2.3,890.8,892.7,891.8,0,0,0
103,175.0,176.9,53.2,53.6,1.9,896.4,889.8,893.1,0,0,0
106,177.8,177.2,52.9,53.2,0.6,893.6,890.9,892.2,0,0,0
109,175.4,177.0,53.8,52.5,1.6,891.6,890.3,891.0,0,0,0
112,177.9,178.6,53.4,53.8,0.7,898.3,892.5,895.4,0,0,0
115,175.6,179.2,50.3,51.5,3.6,895.8,890.4,893.1,0,0,0
118,177.0,177.8,54.1,53.9,0.8,896.0,891.8,893.9,0,0,0
121,177.8,175.0,54.5,56.4,2.8,891.9,894.6,893.2,0,0,0
124,177.9,174.6,56.2,53.0,3.3,887.9,890.0,889.0,0,0,0
127,173.4,173.7,54.6,47.6,0.3,891.1,888.4,889.8,0,0,0
130,174.5,176.0,51.4,51.4,1.5,889.1,888.8,889.0,0,0,0
133,178.0,174.7,56.8,50.6,3.3,886.3,889.4,887.8,0,0,0
136,172.6,175.5,54.1,53.8,2.9,887.8,895.1,891.5,0,0,0
139,174.5,175.2,59.3,52.3,0.7,890.0,893.6,891.8,0,0,0
142,177.7,179.4,54.4,54.1,1.7,889.0,892.4,890.7,0,0,0
145,174.2,178.4,54.1,56.5,4.2,887.7,895.2,891.5,0,0,0
148,177.3,177.5,55.8,57.2,0.2,886.2,891.2,888.7,0,0,0
151,174.3,178.1,53.3,54.2,3.8,891.3,890.8,891.0,0,0,0
154,174.9,179.6,56.2,52.3,4.7,888.4,894.9,891.6,0,0,0
157,179.6,178.1,57.8,54.8,1.5,888.9,894.5,891.7,0,0,0
160,178.4,179.8,55.4,52.8,1.4,887.7,892.0,889.9,0,0,0
163,179.2,179.8,57.5,53.2,0.6,891.8,893.9,892.8,0,0,0
166,171.9,178.0,63.9,57.0,6.1,890.5,892.9,891.7,0,0,0
169,168.6,178.6,61.7,57.4,10.0,897.4,890.7,894.0,0,0,0
172,169.7,177.2,60.0,57.0,7.5,894.6,891.8,893.2,0,0,0
175,167.1,177.7,59.3,52.1,10.6,897.8,892.6,895.2,0,0,0
178,167.0,173.9,57.1,54.5,6.9,898.8,892.5,895.6,0,0,0
181,169.2,178.2,57.1,54.3,9.0,896.2,887.5,891.9,0,0,0
184,168.9,177.2,56.5,51.9,8.3,895.7,884.2,890.0,0,0,0
187,169.3,176.6,57.9,49.5,7.3,896.1,891.4,893.8,0,0,0
190,168.5,175.9,54.7,54.1,7.4,896.1,890.9,893.5,0,0,0
193,168.2,173.8,53.2,57.2,5.6,891.7,891.0,891.4,0,0,0
196,168.0,167.8,57.4,55.8,0.2,898.9,885.9,892.4,0,0,0
199,167.9,163.3,55.9,59.3,4.6,896.1,888.1,892.1,0,0,0
202,162.6,156.9,54.3,59.3,5.7,897.0,891.2,894.1,0,1,0
205,161.3,157.5,51.0,58.1,3.8,897.3,887.7,892.5,0,1,0
208,164.4,156.6,48.9,60.3,7.8,896.9,894.3,895.6,0,1,0
211,164.5,158.3,49.3,55.7,6.2,898.6,891.9,895.2,0,1,0
214,164.3,162.5,50.7,53.4,1.8,894.5,890.0,892.2,0,0,0
217,165.5,165.8,49.5,51.0,0.3,893.3,886.3,889.8,0,0,0
220,165.6,168.4,49.1,46.9,2.8,888.5,885.6,887.0,0,0,0
223,162.9,165.6,47.3,48.0,2.7,891.0,885.7,888.4,0,0,0
226,166.3,170.5,46.0,46.6,4.2,892.5,887.0,889.8,0,0,0
229,167.7,173.3,44.7,47.9,5.6,887.4,887.6,887.5,0,0,0
232,169.5,172.0,43.3,47.3,2.5,892.8,888.0,890.4,0,0,0
235,172.3,173.4,41.9,47.4,1.1,891.8,881.1,886.5,0,0,0
238,169.6,170.4,43.3,47.8,0.8,893.9,886.9,890.4,0,0,0
241,170.7,170.7,42.1,44.8,0.0,891.5,890.1,890.8,0,0,0
244,169.7,171.7,43.3,45.2,2.0,891.1,885.0,888.0,0,0,0
247,170.8,170.9,44.2,43.8,0.1,890.8,887.6,889.2,0,0,0
250,171.0,168.9,42.9,46.9,2.1,891.8,887.2,889.5,0,0,0
253,167.4,169.2,44.7,45.3,1.8,893.8,886.3,890.0,0,0,0
256,168.3,171.1,46.0,45.5,2.8,892.1,892.6,892.4,0,0,0
259,169.6,170.7,45.3,45.6,1.1,894.8,885.7,890.2,0,0,0
262,168.5,171.2,43.6,43.3,2.7,893.5,890.0,891.8,0,0,0
265,167.8,171.6,43.8,43.8,3.8,888.1,885.3,886.7,0,0,0
268,170.3,174.1,47.4,43.5,3.8,886.7,881.5,884.1,0,0,0
271,170.1,172.2,44.8,41.7,2.1,886.3,884.3,885.3,0,0,0
274,172.8,174.3,42.4,41.7,1.5,887.0,881.2,884.1,0,0,0
277,172.3,173.9,43.2,41.5,1.6,887.8,881.7,884.8,0,0,0
280,167.9,172.7,43.3,42.9,4.8,886.1,883.9,885.0,0,0,0
283,171.4,172.6,44.9,42.8,1.2,886.2,887.3,886.8,0,0,0
286,170.6,173.9,41.9,45.0,3.3,894.6,886.8,890.7,0,0,0
289,172.2,173.2,42.0,43.8,1.0,889.5,884.6,887.0,0,0,0
292,171.8,173.7,43.7,46.0,1.9,889.6,885.5,887.5,0,0,0
295,169.1,170.3,43.2,45.0,1.2,886.7,883.0,884.9,0,0,0
298,169.4,172.8,42.6,42.1,3.4,888.0,884.7,886.4,0,0,0
301,169.0,172.8,43.4,46.5,3.8,892.3,886.8,889.5,0,0,0
304,172.3,170.6,41.7,47.1,1.7,892.4,884.8,888.6,0,0,0
307,168.6,169.0,45.7,46.0,0.4,893.1,885.7,889.4,0,0,0
310,167.6,172.5,45.3,45.6,4.9,890.6,885.8,888.2,0,0,0
313,166.8,173.1,45.7,45.7,6.3,892.3,882.7,887.5,0,0,0
316,168.3,171.9,44.2,44.7,3.6,888.8,884.6,886.7,0,0,0
319,167.7,170.4,43.9,44.2,2.7,891.5,884.9,888.2,0,0,0
322,168.2,169.9,44.0,43.9,1.7,891.8,884.5,888.1,0,0,0
325,167.7,169.8,44.1,43.3,2.1,889.9,883.3,886.6,0,0,0
328,167.9,169.1,41.9,44.3,1.2,892.9,885.5,889.2,0,0,0
331,165.8,170.4,44.3,42.8,4.6,894.5,884.8,889.6,0,0,0
334,167.0,171.2,44.1,45.0,4.2,892.7,880.5,886.6,0,0,0
337,166.1,169.8,43.5,42.7,3.7,891.7,883.8,887.8,0,0,0
340,168.4,169.4,45.7,44.6,1.0,888.5,883.5,886.0,0,0,0
343,165.7,170.9,45.5,43.7,5.2,892.1,882.5,887.3,0,0,0
346,166.8,172.6,47.1,46.6,5.8,890.3,881.5,885.9,0,0,0
349,167.7,171.3,45.3,45.1,3.6,894.4,886.2,890.3,0,0,0
352,169.7,170.5,43.7,46.1,0.8,893.4,886.1,889.8,0,0,0
355,166.6,172.2,46.4,46.3,5.6,892.4,886.5,889.5,0,0,0
358,167.5,169.5,45.8,47.8,2.0,892.5,884.9,888.7,0,0,0
361,167.6,172.7,42.1,46.1,5.1,890.7,879.7,885.2,0,0,0
364,166.6,174.1,45.2,41.8,7.5,893.6,881.8,887.7,0,0,0
367,166.8,172.8,45.0,42.9,6.0,888.8,878.1,883.5,0,0,0
370,167.9,174.9,44.1,42.0,7.0,891.6,876.8,884.2,0,0,0
373,165.0,171.5,46.1,45.2,6.5,888.0,882.7,885.4,0,0,0
376,167.9,172.1,44.0,45.4,4.2,888.9,881.2,885.0,0,0,0
379,166.7,171.0,44.9,46.3,4.3,887.4,882.0,884.7,0,0,0
382,166.3,173.1,47.0,45.8,6.8,885.3,875.9,880.6,0,0,0
385,165.2,171.6,47.2,47.0,6.4,886.5,880.2,883.4,0,0,0
388,165.7,172.7,47.6,45.2,7.0,886.5,873.8,880.1,0,0,0
391,165.9,172.4,44.8,44.5,6.5,889.8,880.7,885.2,0,0,0
394,165.5,173.3,46.6,45.1,7.8,888.7,878.1,883.4,0,0,0
397,165.6,172.0,46.0,45.3,6.4,890.0,882.1,886.0,0,0,0
400,165.9,173.8,47.1,46.4,7.9,884.0,878.2,881.1,0,0,0
403,166.0,170.8,47.3,46.7,4.8,887.9,884.0,886.0,0,0,0
406,163.5,168.5,50.4,47.5,5.0,888.1,884.2,886.2,0,0,0
409,161.4,167.7,50.7,48.5,6.3,891.7,888.6,890.2,0,0,0
412,158.7,165.2,54.0,48.1,6.5,896.1,889.8,893.0,0,1,0
415,154.3,165.6,59.1,52.0,11.3,898.2,891.9,895.0,0,1,0
418,153.5,163.3,58.5,51.2,9.8,897.3,895.7,896.5,0,1,0
421,155.8,166.5,57.9,54.5,10.7,900.3,885.7,893.0,0,1,0
424,156.4,164.8,59.4,53.8,8.4,900.0,885.7,892.9,0,1,0
427,157.1,163.6,56.3,50.9,6.5,897.5,888.4,893.0,0,1,0
430,160.8,163.2,50.6,49.6,2.4,893.8,884.5,889.1,0,0,0
433,158.1,163.3,53.0,49.1,5.2,893.9,885.9,889.9,0,1,0
436,163.5,162.3,49.5,50.4,1.2,891.9,883.4,887.6,0,0,0
439,163.3,165.8,47.2,46.3,2.5,891.6,882.3,887.0,0,0,0
442,166.3,172.8,43.8,41.9,6.5,886.6,880.4,883.5,0,0,0
445,172.1,179.8,41.4,44.0,7.7,886.6,877.7,882.2,0,0,0
448,173.9,177.1,41.8,43.2,3.2,880.8,871.5,876.1,0,0,0
451,172.7,176.4,43.5,42.4,3.7,875.1,868.9,872.0,0,0,0
454,177.7,178.4,48.7,51.5,0.7,862.1,860.1,861.1,0,0,0
457,174.1,178.8,45.8,47.4,4.7,850.2,851.6,850.9,0,0,0
460,171.1,172.6,49.0,51.8,1.5,839.1,842.1,840.6,0,0,0
463,171.9,172.8,50.8,50.4,0.9,832.1,827.5,829.8,0,0,0
466,169.5,169.9,50.0,52.5,0.4,816.4,808.7,812.5,0,0,0
469,170.3,169.5,46.5,49.8,0.8,795.3,796.7,796.0,0,0,0
472,168.1,168.0,48.2,47.8,0.1,777.1,775.3,776.2,0,0,0
475,170.5,169.5,44.6,41.8,1.0,756.2,762.2,759.2,0,0,0
478,162.9,168.2,42.5,40.0,5.3,730.4,732.3,731.3,0,0,0
481,153.9,164.1,44.0,38.8,10.2,706.4,708.8,707.6,0,1,0
484,148.2,159.7,46.0,39.9,11.5,684.9,692.3,688.6,0,1,0
487,145.0,157.7,47.4,40.4,12.7,656.9,662.8,659.8,0,1,0
490,151.7,162.5,44.7,38.9,10.8,631.3,633.6,632.5,0,1,0
493,151.2,165.8,47.1,38.4,14.6,605.7,608.5,607.1,0,1,0
496,158.2,167.7,47.4,39.9,9.5,578.2,577.1,577.7,0,1,0
499,154.7,164.9,51.5,46.2,10.2,550.6,552.9,551.8,0,1,0
502,131.9,159.0,63.9,56.5,27.1,542.0,545.1,543.5,1,1,0
505,116.2,161.4,74.7,66.7,45.2,549.5,537.5,543.5,1,1,0
508,92.3,115.4,55.5,56.0,23.1,559.0,560.5,559.8,1,1,0
511,46.8,55.5,34.2,40.1,8.7,599.3,589.9,594.6,0,1,0
514,38.3,44.7,31.1,38.8,6.4,620.1,628.9,624.5,0,1,0
517,67.6,47.5,50.8,39.0,20.1,594.1,618.2,606.2,1,1,0
520,98.8,89.9,82.7,71.8,8.9,609.9,626.3,618.1,0,1,0
523,54.2,48.4,46.0,52.2,5.8,654.3,651.6,653.0,0,1,0
526,47.2,44.0,40.4,45.5,3.2,668.4,662.4,665.4,0,1,0
529,41.3,43.8,35.0,37.6,2.5,673.3,681.8,677.5,0,1,0
532,33.2,33.6,34.3,33.4,0.4,679.2,684.0,681.6,0,1,0
535,30.1,35.1,30.2,30.7,5.0,678.9,686.7,682.8,0,1,0
538,35.3,38.3,32.2,34.3,3.0,672.4,680.6,676.5,0,1,0
541,39.4,34.9,37.9,33.6,4.5,664.8,675.2,670.0,0,1,0
544,41.8,37.5,38.6,34.6,4.3,662.0,664.9,663.5,0,1,0
547,48.9,36.5,43.3,33.2,12.4,655.1,664.0,659.5,0,1,0
550,50.0,40.3,44.9,38.4,9.7,656.4,659.7,658.0,0,1,0
553,46.7,41.4,40.6,37.6,5.3,659.8,664.7,662.2,0,1,0
556,44.0,40.6,38.7,37.5,3.4,668.0,668.8,668.4,0,1,0
559,41.8,42.5,41.5,42.4,0.7,671.7,669.4,670.5,0,1,0
562,43.5,40.8,41.1,41.9,2.7,670.2,670.4,670.3,0,1,0
565,41.7,40.5,39.6,40.0,1.2,672.4,671.7,672.0,0,1,0
568,43.8,38.5,36.4,34.0,5.3,668.1,677.8,673.0,0,1,0
571,47.2,37.4,42.4,32.8,9.8,658.6,670.3,664.5,0,1,0
574,51.8,38.0,44.1,34.2,13.8,645.6,657.2,651.4,0,1,0
577,50.0,39.5,39.3,33.1,10.5,629.7,647.6,638.7,0,1,0
580,45.8,41.1,39.5,35.4,4.7,616.4,632.6,624.5,0,1,0
583,42.5,46.1,35.1,36.5,3.6,608.9,622.2,615.5,0,1,0
586,41.9,42.5,29.3,32.0,0.6,595.0,609.0,602.0,0,1,0
589,36.9,44.9,32.4,35.3,8.0,585.4,594.1,589.8,0,1,0
592,34.9,38.2,35.1,28.0,3.3,573.1,584.9,579.0,0,1,0
595,39.7,44.3,29.8,34.6,4.6,562.9,568.0,565.5,0,1,0
598,40.6,43.8,33.3,34.1,3.2,544.8,559.5,552.1,0,1,0
601,36.2,45.3,26.1,31.7,9.1,539.3,546.8,543.0,0,1,0
604,36.9,46.9,29.3,32.5,10.0,527.6,538.3,533.0,0,1,0
607,44.5,47.1,35.1,32.8,2.6,515.6,526.3,521.0,0,1,0
610,53.7,42.8,41.5,29.3,10.9,505.5,514.0,509.8,0,1,0
613,57.3,43.0,45.2,31.0,14.3,500.4,506.0,503.2,0,1,0
616,61.1,49.7,56.5,39.6,11.4,483.7,490.1,486.9,0,1,0
619,68.2,45.2,64.0,36.4,23.0,468.5,481.9,475.2,1,1,0
622,98.3,50.6,88.7,39.1,47.7,453.3,462.8,458.1,1,1,0
625,71.2,67.1,68.0,51.4,4.1,448.0,453.2,450.6,0,1,0
628,81.5,74.1,68.6,55.2,7.4,431.0,432.3,431.6,0,1,0
631,70.9,82.7,69.2,68.4,11.8,395.1,397.2,396.1,0,1,0
634,62.9,71.1,57.6,59.7,8.2,381.1,378.4,379.8,0,1,0
637,50.7,52.2,45.2,40.0,1.5,382.1,383.1,382.6,0,1,0
640,114.3,26.2,67.2,24.2,88.1,376.2,377.9,377.0,1,1,0
643,70.5,50.1,90.2,48.2,20.4,361.1,360.1,360.6,1,1,0
646,68.5,62.9,78.0,77.2,5.6,358.3,360.7,359.5,0,1,0
649,69.8,51.2,82.4,79.4,18.6,363.0,360.6,361.8,1,1,0
652,55.8,68.3,68.4,66.4,12.5,387.9,377.5,382.7,0,1,0
655,73.3,75.8,76.3,61.4,2.5,403.9,404.7,404.3,0,1,0
658,83.3,78.7,81.7,66.4,4.6,421.0,420.6,420.8,0,1,0
