frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
1,156.6,165.7,59.0,49.6,9.1,931.8,933.3,932.5,0,1,0
4,156.2,163.4,56.8,51.6,7.2,926.2,929.4,927.8,0,1,0
7,156.5,159.5,60.3,54.9,3.0,927.3,933.3,930.3,0,1,0
10,156.5,151.0,57.7,60.0,5.5,930.7,934.4,932.5,0,1,0
13,154.9,147.1,58.0,63.1,7.8,928.8,937.8,933.3,0,1,0
16,155.0,139.2,57.1,64.7,15.8,929.2,936.0,932.6,1,1,0
19,154.8,141.1,59.5,62.8,13.7,928.9,935.6,932.2,0,1,0
22,156.0,139.7,55.4,63.0,16.3,928.4,932.1,930.2,1,1,0
25,160.7,151.0,54.3,52.4,9.7,924.6,932.6,928.6,0,1,0
28,165.8,163.3,46.4,49.4,2.5,918.0,931.0,924.5,0,0,0
31,169.1,163.2,43.2,48.1,5.9,918.6,926.5,922.5,0,0,0
34,167.8,165.8,42.1,44.4,2.0,910.4,926.5,918.5,0,0,0
37,170.4,167.6,44.0,43.5,2.8,914.4,923.2,918.8,0,0,0
40,172.6,167.1,41.6,43.0,5.5,915.4,926.3,920.8,0,0,0
43,171.8,169.9,42.6,42.1,1.9,915.5,932.7,924.1,0,0,0
46,173.4,171.9,40.5,44.8,1.5,919.1,927.4,923.2,0,0,0
49,172.7,171.3,41.7,45.4,1.4,914.9,925.2,920.0,0,0,0
52,173.1,170.4,44.9,45.5,2.7,916.2,927.4,921.8,0,0,0
55,174.5,172.7,44.7,43.9,1.8,922.3,926.6,924.5,0,0,0
58,174.4,172.5,43.8,46.1,1.9,917.5,926.6,922.0,0,0,0
61,173.8,172.9,47.9,47.5,0.9,919.0,931.8,925.4,0,0,0
64,174.4,180.0,50.1,46.5,5.6,910.6,925.1,917.9,0,0,0
67,176.8,179.4,50.9,46.3,2.6,900.8,918.8,909.8,0,0,0
70,173.6,178.2,57.6,49.7,4.6,890.8,911.3,901.0,0,0,0
73,173.5,171.8,54.6,48.4,1.7,881.7,899.1,890.4,0,0,0
76,173.7,172.5,54.0,48.4,1.2,871.2,887.3,879.2,0,0,0
79,175.7,175.7,48.6,41.4,0.0,860.5,876.0,868.2,0,0,0
82,176.5,172.0,47.5,35.6,4.5,839.7,854.3,847.0,0,0,0
85,172.4,169.4,48.3,38.8,3.0,818.6,827.6,823.1,0,0,0
88,171.0,165.8,47.6,37.9,5.2,799.4,814.8,807.1,0,0,0
91,171.4,165.1,43.6,36.6,6.3,768.3,786.1,777.2,0,0,0
94,171.6,162.1,40.6,36.7,9.5,740.4,762.4,751.4,0,0,0
97,171.6,163.4,36.8,34.2,8.2,716.0,737.6,726.8,0,0,0
100,172.2,166.2,34.5,30.2,6.0,693.4,706.0,699.7,0,0,0
103,173.7,162.9,30.8,31.0,10.8,669.9,685.9,677.9,0,0,0
106,173.1,156.6,31.2,35.1,16.5,639.9,651.5,645.7,1,1,0
109,173.0,154.2,32.8,39.3,18.8,606.2,620.4,613.3,1,1,0
112,172.8,152.6,32.8,40.8,20.2,587.3,595.7,591.5,1,1,0
115,170.1,151.8,34.8,44.3,18.3,567.4,575.1,571.2,1,1,0
118,150.6,141.6,49.1,50.7,9.0,546.5,559.7,553.1,0,1,0
121,135.4,116.8,61.6,64.9,18.6,529.7,547.3,538.5,1,1,0
124,129.1,106.9,66.8,72.3,22.2,525.3,545.1,535.2,1,1,0
127,161.2,151.6,64.6,75.6,9.6,547.6,570.2,558.9,0,1,0
130,50.9,54.1,54.1,65.3,3.2,573.2,594.9,584.0,0,1,0
133,39.1,47.2,45.6,55.2,8.1,618.6,631.8,625.2,0,1,0
136,40.5,41.6,46.4,44.2,1.1,642.1,650.7,646.4,0,1,0
139,48.5,49.4,45.2,32.7,0.9,649.9,667.7,658.8,0,1,0
142,53.7,56.3,46.2,35.4,2.6,680.0,688.4,684.2,0,1,0
145,48.3,47.8,40.0,33.5,0.5,685.7,708.1,696.9,0,1,0
148,50.6,47.5,44.6,34.0,3.1,688.1,708.5,698.3,0,1,0
151,51.2,51.0,47.2,34.3,0.2,681.9,698.7,690.3,0,1,0
154,49.3,41.9,46.5,31.1,7.4,677.9,700.0,689.0,0,1,0
157,44.9,41.3,46.2,31.6,3.6,667.6,689.7,678.7,0,1,0
160,43.1,41.5,43.5,32.9,1.6,658.7,680.0,669.4,0,1,0
163,45.7,45.6,45.3,31.2,0.1,646.7,669.7,658.2,0,1,0
166,44.6,42.4,46.8,30.0,2.2,646.9,663.9,655.4,0,1,0
169,41.5,41.9,44.6,34.0,0.4,647.0,660.1,653.5,0,1,0
172,40.3,40.5,45.9,34.8,0.2,646.9,661.6,654.2,0,1,0
175,41.0,42.6,46.5,35.8,1.6,654.9,670.4,662.6,0,1,0
178,47.9,41.3,52.2,32.7,6.6,656.5,682.0,669.2,0,1,0
181,51.4,43.2,52.8,32.8,8.2,666.6,692.5,679.5,0,1,0
184,53.4,44.2,51.8,33.9,9.2,678.4,701.1,689.8,0,1,0
