frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
1,147.9,179.1,19.3,20.0,31.2,614.8,529.4,572.1,1,1,1
4,151.6,116.9,25.7,18.9,34.7,616.8,507.1,562.0,1,1,1
7,139.2,154.3,24.2,19.3,15.1,600.7,537.8,569.2,1,1,1
10,154.6,170.6,17.3,17.7,16.0,602.9,528.3,565.6,1,1,1
13,142.6,160.9,23.7,14.9,18.3,585.7,537.8,561.8,1,1,1
16,148.5,167.6,24.2,15.5,19.1,612.0,555.9,584.0,1,1,1
19,148.4,170.1,25.5,17.6,21.7,603.0,547.5,575.2,1,1,1
22,145.2,152.1,24.6,17.0,6.9,610.1,535.5,572.8,0,1,1
25,153.5,140.3,25.3,16.5,13.2,590.1,526.9,558.5,0,1,1
28,159.2,139.0,26.1,16.6,20.2,587.1,526.2,556.7,1,1,1
31,151.0,168.5,23.8,18.7,17.5,628.2,557.3,592.8,1,1,1
34,150.8,160.5,28.0,21.0,9.7,604.1,537.2,570.7,0,1,1
37,149.2,179.0,27.6,18.8,29.8,603.3,571.2,587.2,1,1,1
40,147.7,167.2,26.9,18.5,19.5,623.1,562.8,593.0,1,1,1
43,145.2,98.5,27.7,17.8,46.7,592.0,505.0,548.5,1,1,1
46,150.6,118.2,28.0,15.7,32.4,600.7,520.7,560.7,1,1,1
49,144.3,145.4,29.0,17.2,1.1,591.3,535.9,563.6,0,1,1
52,155.2,149.9,27.5,17.2,5.3,603.3,542.0,572.6,0,1,1
55,159.5,130.5,24.5,19.0,29.0,625.2,528.7,577.0,1,1,1
58,150.6,165.9,21.9,19.0,15.3,597.5,542.8,570.1,1,1,1
61,150.8,137.9,26.3,19.0,12.9,626.0,543.1,584.5,0,1,1
64,157.3,165.0,25.6,19.8,7.7,615.7,547.4,581.5,0,1,1
67,161.6,157.6,22.1,18.2,4.0,623.9,571.4,597.6,0,1,1
70,158.8,167.7,23.0,18.9,8.9,605.0,557.0,581.0,0,1,1
73,164.7,162.7,22.5,18.2,2.0,608.3,560.7,584.5,0,0,1
76,160.7,104.0,22.6,19.9,56.7,596.9,497.6,547.2,1,1,1
79,162.9,142.7,20.9,18.8,20.2,608.9,531.1,570.0,1,1,1
82,160.9,167.9,24.4,18.8,7.0,589.3,548.3,568.8,0,0,1
85,155.4,127.0,24.2,19.3,28.4,601.2,512.1,556.7,1,1,1
88,158.2,123.3,24.6,19.3,34.9,596.3,521.2,558.8,1,1,1
91,155.6,142.1,21.0,20.4,13.5,620.2,522.3,571.2,0,1,1
94,171.1,155.2,22.9,18.8,15.9,608.4,545.0,576.7,1,1,1
97,156.4,173.0,21.5,19.0,16.6,605.7,531.0,568.4,1,1,1
100,158.7,163.0,21.4,17.8,4.3,620.7,560.6,590.7,0,1,1
103,143.8,131.4,27.0,19.4,12.4,605.6,516.9,561.2,0,1,1
106,156.6,102.5,26.2,16.8,54.1,615.2,514.8,565.0,1,1,1
109,150.5,171.0,24.7,17.6,20.5,602.2,559.0,580.6,1,1,1
112,145.3,153.1,26.9,16.8,7.8,586.7,545.4,566.0,0,1,1
115,149.8,170.7,28.7,19.3,20.9,593.3,552.9,573.1,1,1,1
118,152.9,154.5,23.6,16.6,1.6,610.7,546.4,578.5,0,1,1
121,145.2,148.8,28.1,16.6,3.6,599.9,545.1,572.5,0,1,1
124,145.7,160.2,26.5,18.6,14.5,591.7,542.7,567.2,0,1,1
127,149.3,165.4,27.5,18.5,16.1,614.3,539.9,577.1,1,1,1
