video_id,frame_index,timestamp_ms,shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,lift_phase,low_visibility
41good,0,0.0,0.9525,0.3014,0.9351,0.5023,4.9,40.1,0.218,1,clean_catch,0
41good,1,16.72645739910314,0.9532,0.3023,0.9347,0.5026,5.3,39.7,0.219,1,clean_catch,0
41good,2,33.45291479820628,0.9537,0.3031,0.9343,0.5028,5.5,39.5,0.219,1,clean_catch,0
41good,3,50.17937219730941,0.9541,0.3037,0.9341,0.5028,5.7,39.3,0.219,1,clean_catch,0
41good,4,66.90582959641256,0.9543,0.3042,0.934,0.5026,5.9,39.1,0.219,1,clean_catch,0
41good,5,83.63228699551568,0.9544,0.3045,0.934,0.5023,5.9,39.1,0.218,1,clean_catch,0
41good,6,100.35874439461882,0.9545,0.3045,0.9341,0.502,5.9,39.1,0.218,1,clean_catch,0
41good,7,117.08520179372196,0.9546,0.3047,0.9341,0.5018,5.9,39.1,0.218,1,clean_catch,0
41good,8,133.81165919282512,0.9546,0.3048,0.9342,0.5016,5.9,39.1,0.217,1,clean_catch,0
41good,9,150.53811659192823,0.9546,0.3049,0.9342,0.5015,5.9,39.1,0.217,1,clean_catch,0
41good,10,167.26457399103137,0.9546,0.3049,0.9343,0.5014,5.9,39.1,0.217,1,clean_catch,0
41good,11,183.9910313901345,0.9547,0.305,0.9343,0.5014,5.9,39.1,0.217,1,clean_catch,0
41good,12,200.71748878923765,0.9547,0.305,0.9343,0.5015,5.9,39.1,0.217,1,clean_catch,0
41good,13,217.4439461883408,0.9547,0.3049,0.9343,0.5016,5.9,39.1,0.217,1,clean_catch,0
41good,14,234.17040358744393,0.9547,0.3049,0.9344,0.5017,5.9,39.1,0.217,1,clean_catch,0
41good,15,250.89686098654707,0.9547,0.3048,0.9344,0.5017,5.9,39.1,0.217,1,clean_catch,0
41good,16,267.62331838565024,0.9546,0.3048,0.9344,0.5017,5.9,39.1,0.217,1,clean_catch,0
41good,17,284.3497757847533,0.9546,0.3048,0.9344,0.5017,5.9,39.1,0.217,1,clean_catch,0
41good,18,301.07623318385646,0.9546,0.3048,0.9344,0.5017,5.9,39.1,0.217,1,clean_catch,0
41good,19,317.8026905829596,0.9546,0.3048,0.9344,0.5018,5.9,39.1,0.217,1,clean_catch,0
41good,20,334.52914798206274,0.9546,0.3048,0.9345,0.5017,5.8,39.2,0.217,1,clean_catch,0
41good,21,351.2556053811659,0.9546,0.3048,0.9345,0.5016,5.8,39.2,0.217,1,clean_catch,0
41good,22,367.982062780269,0.9545,0.3048,0.9345,0.5015,5.8,39.2,0.217,1,clean_catch,0
41good,23,384.70852017937216,0.9545,0.3048,0.9345,0.5014,5.8,39.2,0.217,1,clean_catch,0
41good,24,401.4349775784753,0.9544,0.3048,0.9345,0.5013,5.8,39.2,0.216,1,clean_catch,0
41good,25,418.16143497757844,0.9544,0.3049,0.9345,0.5013,5.8,39.2,0.216,1,clean_catch,0
41good,26,434.8878923766816,0.9544,0.3049,0.9345,0.5014,5.8,39.2,0.216,1,clean_catch,0
41good,27,451.6143497757847,0.9543,0.305,0.9345,0.5015,5.8,39.2,0.216,1,clean_catch,0
41good,28,468.34080717488786,0.9542,0.3051,0.9345,0.5017,5.7,39.3,0.216,1,clean_catch,0
41good,29,485.067264573991,0.9542,0.3052,0.9344,0.5017,5.7,39.3,0.216,1,clean_catch,0
41good,30,501.79372197309414,0.9541,0.3052,0.9344,0.5017,5.7,39.3,0.216,1,clean_catch,0
41good,31,518.5201793721973,0.9541,0.3052,0.9344,0.5016,5.7,39.3,0.216,1,clean_catch,0
41good,32,535.2466367713005,0.9541,0.3052,0.9344,0.5015,5.7,39.3,0.216,1,clean_catch,0
41good,33,551.9730941704036,0.9541,0.3052,0.9343,0.5014,5.7,39.3,0.216,1,clean_catch,0
41good,34,568.6995515695066,0.954,0.3052,0.9343,0.5015,5.8,39.2,0.216,1,clean_catch,0
41good,35,585.4260089686098,0.954,0.3052,0.9342,0.5018,5.8,39.2,0.216,1,clean_catch,0
41good,36,602.1524663677129,0.954,0.3052,0.9342,0.502,5.8,39.2,0.217,1,clean_catch,0
41good,37,618.8789237668161,0.954,0.3053,0.9341,0.5022,5.8,39.2,0.217,1,clean_catch,0
41good,38,635.6053811659192,0.9539,0.3053,0.9341,0.5022,5.8,39.2,0.217,1,clean_catch,0
41good,39,652.3318385650224,0.9539,0.3055,0.934,0.5021,5.8,39.2,0.217,1,clean_catch,0
41good,40,669.0582959641255,0.9539,0.3056,0.934,0.5021,5.8,39.2,0.216,1,clean_catch,0
41good,41,685.7847533632287,0.9539,0.3057,0.9339,0.5021,5.8,39.2,0.216,1,clean_catch,0
41good,42,702.5112107623318,0.9538,0.3057,0.9339,0.5021,5.8,39.2,0.216,1,clean_catch,0
41good,43,719.237668161435,0.9538,0.3058,0.9339,0.502,5.8,39.2,0.216,1,clean_catch,0
41good,44,735.964125560538,0.9538,0.3058,0.9339,0.502,5.8,39.2,0.216,1,clean_catch,0
41good,45,752.6905829596412,0.9538,0.3059,0.9339,0.5019,5.8,39.2,0.216,1,clean_catch,0
41good,46,769.4170403587443,0.9539,0.3061,0.9339,0.5018,5.8,39.2,0.216,1,clean_catch,0
41good,47,786.1434977578475,0.9539,0.3062,0.9339,0.5017,5.8,39.2,0.216,1,clean_catch,0
41good,48,802.8699551569506,0.9539,0.3063,0.9339,0.5016,5.9,39.1,0.215,1,clean_catch,0
41good,49,819.5964125560538,0.9539,0.3063,0.9339,0.5015,5.9,39.1,0.215,1,clean_catch,0
41good,50,836.3228699551569,0.9539,0.3062,0.9339,0.5014,5.9,39.1,0.215,1,clean_catch,0
41good,51,853.0493273542601,0.9539,0.3061,0.9339,0.5013,5.9,39.1,0.215,1,clean_catch,0
41good,52,869.7757847533632,0.9539,0.3061,0.9339,0.5013,5.9,39.1,0.215,1,clean_catch,0
41good,53,886.5022421524664,0.9539,0.3061,0.9339,0.5013,5.9,39.1,0.215,1,clean_catch,0
41good,54,903.2286995515694,0.9539,0.3061,0.9339,0.5014,5.9,39.1,0.215,1,clean_catch,0
41good,55,919.9551569506726,0.9539,0.3061,0.9338,0.5014,5.9,39.1,0.215,1,clean_catch,0
41good,56,936.6816143497757,0.9539,0.3062,0.9338,0.5014,5.9,39.1,0.215,1,clean_catch,0
41good,57,953.4080717488789,0.9539,0.3062,0.9337,0.5014,5.9,39.1,0.215,1,clean_catch,0
41good,58,970.134529147982,0.9539,0.3063,0.9336,0.5014,5.9,39.1,0.215,1,clean_catch,0
41good,59,986.8609865470852,0.9539,0.3064,0.9336,0.5015,6.0,39.0,0.215,1,clean_catch,0
41good,60,1003.5874439461883,0.9539,0.3064,0.9335,0.5016,6.0,39.0,0.216,1,clean_catch,0
41good,61,1020.3139013452915,0.9539,0.3065,0.9335,0.5016,6.0,39.0,0.216,1,clean_catch,0
41good,62,1037.0403587443946,0.9539,0.3066,0.9334,0.5016,6.0,39.0,0.216,1,clean_catch,0
41good,63,1053.7668161434976,0.9539,0.3066,0.9334,0.5016,6.0,39.0,0.215,1,clean_catch,0
41good,64,1070.493273542601,0.9538,0.3065,0.9334,0.5016,6.0,39.0,0.215,1,clean_catch,0
41good,65,1087.219730941704,0.9538,0.3064,0.9335,0.5015,6.0,39.0,0.215,1,clean_catch,0
41good,66,1103.946188340807,0.9538,0.3064,0.9335,0.5014,6.0,39.0,0.215,1,clean_catch,0
41good,67,1120.6726457399102,0.9538,0.3063,0.9335,0.5013,5.9,39.1,0.215,1,clean_catch,0
41good,68,1137.3991031390133,0.9538,0.3062,0.9336,0.5013,5.9,39.1,0.215,1,clean_catch,0
41good,69,1154.1255605381166,0.9538,0.3061,0.9336,0.5012,5.9,39.1,0.215,1,clean_catch,0
41good,70,1170.8520179372197,0.9538,0.306,0.9336,0.5012,5.9,39.1,0.215,1,clean_catch,0
41good,71,1187.5784753363228,0.9538,0.3059,0.9336,0.5012,5.9,39.1,0.215,1,clean_catch,0
41good,72,1204.3049327354258,0.9538,0.3058,0.9336,0.5012,5.9,39.1,0.216,1,clean_catch,0
41good,73,1221.0313901345291,0.9539,0.3058,0.9337,0.5012,5.9,39.1,0.216,1,clean_catch,0
41good,74,1237.7578475336322,0.9539,0.3058,0.9337,0.5012,5.9,39.1,0.216,1,clean_catch,0
