video_id,frame_index,timestamp_ms,shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,lift_phase,low_visibility
46good,0,0.0,0.4614,0.5482,0.5168,0.6393,31.3,13.7,0.147,1,jerk_dip,1
46good,1,16.69041963578781,0.4614,0.5482,0.5168,0.6393,31.3,13.7,0.147,1,jerk_dip,1
46good,2,33.38083927157562,0.4614,0.5482,0.5168,0.6393,31.3,13.7,0.147,1,jerk_dip,1
46good,3,50.07125890736342,0.4614,0.5482,0.5168,0.6393,31.3,13.7,0.147,1,jerk_dip,1
46good,4,66.76167854315123,0.4614,0.5482,0.5168,0.6393,31.3,13.7,0.147,1,jerk_dip,1
46good,5,83.45209817893904,0.4614,0.548,0.5165,0.6395,31.0,14.0,0.147,1,jerk_dip,1
46good,6,100.14251781472684,0.4614,0.5483,0.5167,0.6394,31.3,13.7,0.146,1,jerk_dip,1
46good,7,116.83293745051465,0.4612,0.5491,0.5181,0.6386,32.4,12.6,0.146,1,jerk_dip,0
46good,8,133.52335708630247,0.4611,0.5499,0.5204,0.6373,34.1,10.9,0.147,1,jerk_dip,0
46good,9,150.21377672209027,0.4609,0.5508,0.5231,0.636,36.1,8.9,0.147,1,first_pull,0
46good,10,166.90419635787808,0.4608,0.5516,0.5253,0.6349,37.8,7.2,0.148,1,first_pull,0
46good,11,183.59461599366588,0.4607,0.5521,0.5267,0.634,38.8,6.2,0.148,1,first_pull,0
46good,12,200.2850356294537,0.4606,0.5531,0.5278,0.6333,40.0,5.0,0.147,1,first_pull,0
46good,13,216.9754552652415,0.4606,0.5543,0.5294,0.6326,41.3,3.7,0.147,1,first_pull,0
46good,14,233.6658749010293,0.4607,0.5557,0.531,0.6318,42.7,2.3,0.146,1,first_pull,0
46good,15,250.3562945368171,0.4609,0.5569,0.5328,0.6314,44.0,1.0,0.146,1,first_pull,0
46good,16,267.04671417260494,0.461,0.5581,0.5341,0.6314,44.9,0.1,0.146,1,first_pull,0
46good,17,283.73713380839274,0.4611,0.5591,0.5349,0.6312,45.7,0.7,0.146,1,first_pull,0
46good,18,300.42755344418055,0.461,0.56,0.5352,0.6312,46.2,1.2,0.146,1,first_pull,0
46good,19,317.11797307996835,0.4608,0.5607,0.5354,0.6313,46.6,1.6,0.145,1,first_pull,0
46good,20,333.80839271575616,0.4606,0.5614,0.5355,0.6312,47.0,2.0,0.145,1,first_pull,0
46good,21,350.49881235154396,0.4603,0.5619,0.5357,0.6312,47.4,2.4,0.145,1,first_pull,0
46good,22,367.18923198733177,0.4603,0.5623,0.5368,0.6309,48.1,3.1,0.145,1,first_pull,0
46good,23,383.87965162311957,0.4604,0.5625,0.5382,0.6305,48.8,3.8,0.146,1,first_pull,0
46good,24,400.5700712589074,0.4607,0.5625,0.54,0.6299,49.6,4.6,0.147,1,first_pull,0
46good,25,417.2604908946952,0.461,0.5626,0.5415,0.6294,50.3,5.3,0.147,1,first_pull,0
46good,26,433.950910530483,0.4613,0.5628,0.5421,0.6292,50.6,5.6,0.147,1,first_pull,0
46good,27,450.6413301662708,0.4615,0.5635,0.5418,0.6295,50.6,5.6,0.146,1,first_pull,0
46good,28,467.3317498020586,0.4618,0.5644,0.5415,0.63,50.5,5.5,0.145,1,first_pull,0
46good,29,484.0221694378464,0.4621,0.5652,0.5413,0.6306,50.4,5.4,0.144,1,first_pull,0
46good,30,500.7125890736342,0.4625,0.5659,0.5414,0.6309,50.5,5.5,0.144,1,first_pull,0
46good,31,517.403008709422,0.4629,0.5663,0.5417,0.631,50.6,5.6,0.143,1,first_pull,0
46good,32,534.0934283452099,0.4633,0.5664,0.5417,0.631,50.5,5.5,0.143,1,first_pull,0
46good,33,550.7838479809976,0.4641,0.5665,0.5416,0.6309,50.3,5.3,0.142,1,first_pull,0
46good,34,567.4742676167855,0.4649,0.5665,0.5415,0.6307,50.0,5.0,0.141,1,first_pull,0
46good,35,584.1646872525732,0.4656,0.5666,0.5416,0.63,50.2,5.2,0.139,1,first_pull,0
46good,36,600.8551068883611,0.4663,0.5669,0.5422,0.6284,51.0,6.0,0.137,0,first_pull,0
46good,37,617.5455265241488,0.4671,0.5648,0.5438,0.6261,51.4,6.4,0.138,1,first_pull,0
46good,38,634.2359461599367,0.4681,0.5603,0.5463,0.6237,50.9,5.9,0.142,1,first_pull,0
46good,39,650.9263657957245,0.4694,0.555,0.5482,0.6213,49.9,4.9,0.145,1,first_pull,0
46good,40,667.6167854315123,0.4708,0.5505,0.55,0.6193,49.0,4.0,0.148,1,first_pull,0
46good,41,684.3072050673001,0.4719,0.5479,0.5509,0.6178,48.5,3.5,0.149,1,first_pull,0
46good,42,700.9976247030879,0.473,0.5489,0.5526,0.6169,49.5,4.5,0.147,1,first_pull,0
46good,43,717.6880443388757,0.4737,0.5499,0.554,0.6162,50.4,5.4,0.147,1,first_pull,0
46good,44,734.3784639746635,0.4741,0.5494,0.5553,0.6158,50.7,5.7,0.148,1,first_pull,0
