video_id,frame_index,timestamp_ms,shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,lift_phase,low_visibility
19bad,56,936.7105263157895,0.885,0.2808,0.8786,0.535,1.4,43.6,0.26,0,clean_catch,0
19bad,57,953.4375,0.8835,0.2806,0.8769,0.5326,1.5,43.5,0.259,0,clean_catch,0
19bad,58,970.1644736842105,0.8822,0.2808,0.8761,0.5292,1.4,43.6,0.255,0,clean_catch,0
19bad,59,986.891447368421,0.8806,0.2805,0.8763,0.5246,1.0,44.0,0.248,0,clean_catch,0
19bad,60,1003.6184210526316,0.8795,0.2804,0.8767,0.5211,0.7,44.3,0.244,0,clean_catch,0
19bad,61,1020.3453947368421,0.8782,0.2814,0.8764,0.5196,0.5,44.5,0.24,0,clean_catch,0
19bad,62,1037.0723684210527,0.8767,0.2825,0.8758,0.5176,0.3,44.7,0.236,0,clean_catch,0
19bad,63,1053.7993421052631,0.8755,0.2838,0.8751,0.5146,0.2,44.8,0.231,0,clean_catch,0
19bad,64,1070.5263157894738,0.8748,0.285,0.8749,0.5114,0.2,44.8,0.226,0,clean_catch,0
19bad,65,1087.2532894736842,0.8739,0.2857,0.8747,0.5087,0.3,44.7,0.224,0,clean_catch,0
19bad,66,1103.9802631578948,0.8732,0.2859,0.874,0.5081,0.3,44.7,0.223,0,clean_catch,0
19bad,67,1120.7072368421052,0.8725,0.2851,0.8733,0.5086,0.3,44.7,0.224,0,clean_catch,0
19bad,68,1137.4342105263158,0.8718,0.2838,0.872,0.5077,0.2,44.8,0.224,0,clean_catch,0
19bad,69,1154.1611842105262,0.8713,0.2824,0.8705,0.5072,0.3,44.7,0.226,0,clean_catch,0
19bad,70,1170.8881578947369,0.8711,0.2812,0.8692,0.5074,0.5,44.5,0.228,0,clean_catch,0
19bad,71,1187.6151315789473,0.8707,0.2805,0.8682,0.5075,0.6,44.4,0.229,0,clean_catch,0
19bad,72,1204.342105263158,0.8706,0.28,0.8676,0.508,0.8,44.2,0.231,0,clean_catch,0
19bad,73,1221.0690789473683,0.8708,0.2793,0.8679,0.5085,0.8,44.2,0.232,0,clean_catch,0
19bad,74,1237.796052631579,0.871,0.2784,0.8688,0.5084,0.6,44.4,0.232,0,clean_catch,0
19bad,75,1254.5230263157894,0.8713,0.2773,0.8703,0.5082,0.3,44.7,0.232,0,clean_catch,0
19bad,76,1271.25,0.8716,0.2764,0.8716,0.5087,0.2,44.8,0.232,0,clean_catch,0
19bad,77,1287.9769736842106,0.8716,0.2761,0.8722,0.5098,0.2,44.8,0.234,0,clean_catch,0
19bad,78,1304.703947368421,0.8716,0.2765,0.8722,0.5116,0.2,44.8,0.236,0,clean_catch,0
19bad,79,1321.4309210526317,0.8717,0.278,0.8721,0.5139,0.2,44.8,0.236,0,clean_catch,0
19bad,80,1338.157894736842,0.8716,0.2803,0.8719,0.5165,0.2,44.8,0.236,0,clean_catch,0
19bad,81,1354.8848684210527,0.8714,0.2827,0.8717,0.5187,0.2,44.8,0.236,0,clean_catch,0
19bad,82,1371.6118421052631,0.8711,0.2839,0.8714,0.5196,0.2,44.8,0.236,0,clean_catch,0
19bad,83,1388.3388157894738,0.8704,0.2843,0.8707,0.52,0.2,44.8,0.236,0,clean_catch,0
