video_id,frame_index,timestamp_ms,shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,lift_phase,low_visibility
45bad,0,0.0,0.5124,0.6347,0.5254,0.5064,-174.2,219.2,0.141,0,jerk_drive,0
45bad,1,16.69059011164274,0.5135,0.6486,0.5254,0.5066,-175.2,220.2,0.154,0,jerk_drive,1
45bad,2,33.38118022328548,0.5143,0.655,0.5257,0.5077,-175.6,220.6,0.159,0,jerk_drive,1
45bad,3,50.071770334928225,0.5149,0.6539,0.5263,0.5097,-175.5,220.5,0.156,0,jerk_drive,0
45bad,4,66.76236044657097,0.515,0.6498,0.5272,0.5105,-175.0,220.0,0.151,0,jerk_drive,1
45bad,5,83.45295055821371,0.515,0.6315,0.5285,0.5149,-173.4,218.4,0.13,0,jerk_drive,0
45bad,6,100.14354066985645,0.5152,0.5987,0.5303,0.5241,-168.5,213.5,0.09,0,jerk_drive,1
45bad,7,116.8341307814992,0.516,0.5503,0.5328,0.5396,-122.3,167.3,0.027,0,jerk_drive,1
45bad,8,133.52472089314193,0.5162,0.5049,0.5339,0.5559,19.1,25.9,0.069,1,jerk_dip,1
45bad,9,150.2153110047847,0.5165,0.4772,0.5342,0.5664,11.2,33.8,0.107,1,jerk_dip,0
45bad,10,166.90590111642743,0.5173,0.4647,0.5349,0.5725,9.3,35.7,0.125,1,clean_catch,0
45bad,11,183.59649122807016,0.5178,0.4647,0.5351,0.5745,9.0,36.0,0.127,1,clean_catch,0
45bad,12,200.2870813397129,0.5186,0.4677,0.5354,0.5743,8.9,36.1,0.123,1,clean_catch,0
45bad,13,216.97767145135566,0.5191,0.4644,0.5363,0.5756,8.8,36.2,0.128,1,clean_catch,0
45bad,14,233.6682615629984,0.518,0.4637,0.5359,0.5778,9.0,36.0,0.132,1,clean_catch,0
45bad,15,250.35885167464113,0.516,0.4653,0.5355,0.5805,9.6,35.4,0.135,1,clean_catch,1
45bad,16,267.04944178628386,0.5136,0.4697,0.5359,0.5839,11.0,34.0,0.136,1,jerk_dip,1
45bad,17,283.7400318979266,0.5104,0.4763,0.5358,0.5876,12.9,32.1,0.137,1,jerk_dip,1
45bad,18,300.4306220095694,0.5076,0.4818,0.5358,0.591,14.5,30.5,0.137,1,jerk_dip,1
45bad,19,317.1212121212121,0.5047,0.4872,0.5358,0.5945,16.1,28.9,0.138,0,jerk_dip,1
45bad,20,333.81180223285486,0.5019,0.4927,0.5357,0.5979,17.8,27.2,0.139,0,jerk_dip,1
45bad,21,350.5023923444976,0.499,0.4981,0.5357,0.6014,19.6,25.4,0.14,0,jerk_dip,1
45bad,22,367.1929824561403,0.4962,0.5036,0.5357,0.6048,21.3,23.7,0.141,0,jerk_dip,1
45bad,23,383.88357256778306,0.4933,0.509,0.5357,0.6083,23.1,21.9,0.142,0,jerk_dip,1
45bad,24,400.5741626794258,0.4905,0.5145,0.5357,0.6117,24.9,20.1,0.142,0,jerk_dip,1
45bad,25,417.2647527910686,0.4876,0.52,0.5357,0.6152,26.8,18.2,0.143,0,jerk_dip,1
45bad,26,433.9553429027113,0.4848,0.5254,0.5357,0.6186,28.6,16.4,0.144,0,jerk_dip,1
45bad,27,450.64593301435406,0.4819,0.5309,0.5356,0.6221,30.5,14.5,0.145,0,jerk_dip,1
45bad,28,467.3365231259968,0.4791,0.5363,0.5356,0.6255,32.4,12.6,0.146,0,jerk_dip,1
45bad,29,484.0271132376395,0.4762,0.5418,0.5356,0.629,34.3,10.7,0.147,0,jerk_dip,1
45bad,30,500.71770334928226,0.4734,0.5472,0.5356,0.6324,36.1,8.9,0.147,0,first_pull,1
45bad,31,517.408293460925,0.4705,0.5527,0.5356,0.6359,38.0,7.0,0.148,0,first_pull,1
45bad,32,534.0988835725677,0.4674,0.5586,0.5355,0.6398,40.0,5.0,0.149,0,first_pull,1
45bad,33,550.7894736842105,0.4647,0.5639,0.5356,0.6429,41.9,3.1,0.15,0,first_pull,1
45bad,34,567.4800637958532,0.4628,0.5677,0.5358,0.6449,43.4,1.6,0.15,1,first_pull,0
45bad,35,584.170653907496,0.4618,0.5698,0.536,0.6457,44.4,0.6,0.15,1,first_pull,0
45bad,36,600.8612440191388,0.4615,0.5704,0.5362,0.6454,44.9,0.1,0.15,1,first_pull,0
45bad,37,617.5518341307815,0.4615,0.5702,0.5365,0.6448,45.1,0.1,0.149,1,first_pull,0
45bad,38,634.2424242424242,0.4613,0.5705,0.5366,0.6447,45.4,0.4,0.15,1,first_pull,0
45bad,39,650.9330143540669,0.461,0.5708,0.5367,0.6446,45.7,0.7,0.15,1,first_pull,0
45bad,40,667.6236044657097,0.4607,0.5709,0.5368,0.6445,46.0,1.0,0.15,1,first_pull,0
45bad,41,684.3141945773524,0.4604,0.5708,0.5369,0.6445,46.1,1.1,0.15,1,first_pull,0
45bad,42,701.0047846889952,0.4601,0.5706,0.5369,0.6444,46.2,1.2,0.151,1,first_pull,0
45bad,43,717.695374800638,0.4599,0.5704,0.5368,0.6441,46.2,1.2,0.151,1,first_pull,0
45bad,44,734.3859649122807,0.4597,0.5702,0.5367,0.6438,46.3,1.3,0.151,1,first_pull,0
45bad,45,751.0765550239234,0.4595,0.57,0.5366,0.6435,46.3,1.3,0.151,1,first_pull,0
45bad,46,767.7671451355661,0.4594,0.5697,0.5368,0.6434,46.4,1.4,0.151,1,first_pull,0
45bad,47,784.4577352472089,0.4593,0.5695,0.537,0.6433,46.5,1.5,0.152,1,first_pull,0
45bad,48,801.1483253588516,0.4593,0.5693,0.5373,0.6431,46.6,1.6,0.152,1,first_pull,0
45bad,49,817.8389154704944,0.4593,0.5692,0.5373,0.6427,46.7,1.7,0.152,1,first_pull,0
45bad,50,834.5295055821372,0.4594,0.5691,0.5374,0.6419,46.9,1.9,0.151,1,first_pull,0
45bad,51,851.2200956937799,0.4593,0.5688,0.5374,0.6411,47.2,2.2,0.15,1,first_pull,0
45bad,52,867.9106858054226,0.4593,0.5684,0.5375,0.6403,47.4,2.4,0.15,1,first_pull,0
45bad,53,884.6012759170653,0.4593,0.568,0.5377,0.6397,47.6,2.6,0.15,1,first_pull,0
45bad,54,901.2918660287081,0.4592,0.5678,0.5378,0.6394,47.7,2.7,0.15,1,first_pull,0
45bad,55,917.9824561403508,0.4592,0.5678,0.5376,0.6392,47.7,2.7,0.15,1,first_pull,0
45bad,56,934.6730462519936,0.4591,0.568,0.5373,0.639,47.8,2.8,0.149,1,first_pull,0
45bad,57,951.3636363636364,0.459,0.5683,0.537,0.639,47.8,2.8,0.149,1,first_pull,0
45bad,58,968.054226475279,0.4589,0.5684,0.537,0.6386,48.1,3.1,0.148,1,first_pull,0
45bad,59,984.7448165869218,0.4589,0.5684,0.5375,0.6381,48.4,3.4,0.148,1,first_pull,0
45bad,60,1001.4354066985645,0.4589,0.5684,0.5379,0.6376,48.8,3.8,0.148,1,first_pull,0
45bad,61,1018.1259968102073,0.4589,0.5683,0.5383,0.6372,49.0,4.0,0.148,1,first_pull,0
45bad,62,1034.81658692185,0.4589,0.5682,0.5384,0.6371,49.1,4.1,0.148,1,first_pull,0
45bad,63,1051.5071770334928,0.459,0.5681,0.5384,0.6372,49.0,4.0,0.149,1,first_pull,0
45bad,64,1068.1977671451355,0.4591,0.568,0.5383,0.6372,48.8,3.8,0.148,1,first_pull,0
45bad,65,1084.8883572567784,0.4593,0.5678,0.5381,0.6372,48.6,3.6,0.148,1,first_pull,0
45bad,66,1101.578947368421,0.4595,0.5677,0.5377,0.6371,48.4,3.4,0.148,1,first_pull,0
45bad,67,1118.2695374800637,0.4597,0.5676,0.5373,0.637,48.2,3.2,0.147,1,first_pull,0
45bad,68,1134.9601275917064,0.4599,0.5677,0.5372,0.6372,48.1,3.1,0.147,1,first_pull,0
45bad,69,1151.6507177033493,0.4602,0.568,0.5376,0.6377,48.0,3.0,0.147,1,first_pull,0
45bad,70,1168.341307814992,0.4605,0.5684,0.538,0.6383,48.0,3.0,0.147,1,first_pull,0
45bad,71,1185.0318979266347,0.4608,0.5687,0.5383,0.6388,47.9,2.9,0.148,1,first_pull,0
45bad,72,1201.7224880382776,0.4611,0.5688,0.5384,0.6392,47.7,2.7,0.148,1,first_pull,0
45bad,73,1218.4130781499202,0.4615,0.5687,0.5386,0.6393,47.5,2.5,0.148,1,first_pull,0
45bad,74,1235.103668261563,0.462,0.5687,0.5386,0.6394,47.3,2.3,0.147,1,first_pull,0
45bad,75,1251.7942583732056,0.4625,0.5689,0.5385,0.6395,47.1,2.1,0.147,1,first_pull,0
45bad,76,1268.4848484848485,0.463,0.5688,0.5383,0.6397,46.8,1.8,0.146,1,first_pull,0
45bad,77,1285.1754385964912,0.4633,0.5678,0.5381,0.6393,46.3,1.3,0.146,1,first_pull,0
45bad,78,1301.8660287081339,0.4636,0.5662,0.5381,0.6386,45.8,0.8,0.147,1,first_pull,0
45bad,79,1318.5566188197768,0.4641,0.5635,0.539,0.6371,45.5,0.5,0.148,1,first_pull,0
45bad,80,1335.2472089314194,0.4652,0.5607,0.5402,0.6352,45.2,0.2,0.15,1,first_pull,0
45bad,81,1351.9377990430621,0.4663,0.5584,0.5417,0.6335,45.1,0.1,0.151,1,first_pull,0
45bad,82,1368.6283891547048,0.4675,0.5568,0.5432,0.6326,45.0,0.0,0.152,1,first_pull,0
45bad,83,1385.3189792663477,0.4687,0.5556,0.5442,0.632,44.7,0.3,0.152,1,first_pull,0
45bad,84,1402.0095693779904,0.4698,0.555,0.5448,0.632,44.2,0.8,0.152,1,first_pull,0
45bad,85,1418.700159489633,0.4706,0.5543,0.5452,0.6319,43.8,1.2,0.152,1,first_pull,0
45bad,86,1435.390749601276,0.4712,0.5539,0.5449,0.6319,43.4,1.6,0.152,1,first_pull,0
45bad,87,1452.0813397129186,0.4716,0.5548,0.5452,0.6322,43.6,1.4,0.151,1,first_pull,0
45bad,88,1468.7719298245613,0.4727,0.5527,0.5465,0.6323,42.8,2.2,0.153,1,first_pull,0
45bad,89,1485.462519936204,0.4742,0.5479,0.5481,0.6315,41.5,3.5,0.158,1,first_pull,0
45bad,90,1502.153110047847,0.4753,0.5426,0.549,0.6303,40.0,5.0,0.161,1,first_pull,0
45bad,91,1518.8437001594896,0.4758,0.54,0.5496,0.629,39.7,5.3,0.163,1,first_pull,0
45bad,92,1535.5342902711322,0.4753,0.5405,0.5499,0.6281,40.4,4.6,0.162,1,first_pull,0
45bad,93,1552.2248803827752,0.4746,0.5436,0.5503,0.6279,41.9,3.1,0.16,1,first_pull,0
45bad,94,1568.9154704944178,0.4743,0.5444,0.5511,0.6277,42.7,2.3,0.16,1,first_pull,0
45bad,95,1585.6060606060605,0.4742,0.5427,0.5518,0.6268,42.7,2.3,0.162,1,first_pull,0
45bad,96,1602.2966507177032,0.474,0.5413,0.5517,0.626,42.6,2.4,0.162,1,first_pull,0
45bad,97,1618.987240829346,0.4736,0.5409,0.5518,0.6251,42.9,2.1,0.162,1,first_pull,0
45bad,98,1635.6778309409888,0.4729,0.5435,0.5528,0.6248,44.5,0.5,0.161,1,first_pull,0
45bad,99,1652.3684210526314,0.4716,0.5469,0.552,0.6249,45.9,0.9,0.158,1,first_pull,0
45bad,100,1669.0590111642744,0.4702,0.5496,0.5506,0.6248,46.9,1.9,0.156,1,first_pull,0
45bad,101,1685.749601275917,0.469,0.5519,0.5487,0.6246,47.6,2.6,0.152,1,first_pull,0
45bad,102,1702.4401913875597,0.468,0.5536,0.5471,0.624,48.3,3.3,0.15,1,first_pull,0
45bad,103,1719.1307814992024,0.4673,0.5536,0.5463,0.6233,48.6,3.6,0.149,1,first_pull,0
45bad,104,1735.8213716108453,0.467,0.5549,0.5472,0.6228,49.7,4.7,0.148,1,first_pull,0
45bad,105,1752.511961722488,0.466,0.5559,0.5469,0.6223,50.6,5.6,0.147,0,first_pull,0
45bad,106,1769.2025518341306,0.465,0.5556,0.5461,0.6217,50.8,5.8,0.147,0,first_pull,0
45bad,107,1785.8931419457736,0.4643,0.5554,0.5449,0.621,50.9,5.9,0.146,0,first_pull,0
45bad,108,1802.5837320574162,0.4639,0.5546,0.5443,0.6201,50.8,5.8,0.146,0,first_pull,0
45bad,109,1819.274322169059,0.464,0.5539,0.5456,0.6184,51.7,6.7,0.146,1,first_pull,0
45bad,110,1835.9649122807016,0.4643,0.5535,0.5471,0.6168,52.6,7.6,0.146,1,first_pull,0
45bad,111,1852.6555023923445,0.4641,0.5533,0.5476,0.6155,53.3,8.3,0.146,1,first_pull,0
45bad,112,1869.3460925039872,0.4637,0.5526,0.5464,0.6144,53.2,8.2,0.145,1,first_pull,0
45bad,113,1886.0366826156298,0.4634,0.5518,0.5444,0.6138,52.6,7.6,0.143,0,first_pull,0
45bad,114,1902.7272727272727,0.4631,0.5509,0.5424,0.6136,51.7,6.7,0.142,0,first_pull,0
45bad,115,1919.4178628389154,0.463,0.5496,0.5426,0.6124,51.7,6.7,0.142,1,first_pull,0
45bad,116,1936.108452950558,0.4633,0.5478,0.544,0.611,51.9,6.9,0.144,1,first_pull,0
45bad,117,1952.7990430622008,0.4637,0.5459,0.5455,0.6095,52.1,7.1,0.145,1,first_pull,0
45bad,118,1969.4896331738437,0.4641,0.544,0.5465,0.6081,52.1,7.1,0.147,1,first_pull,0
45bad,119,1986.1802232854864,0.4641,0.5425,0.5463,0.6067,52.0,7.0,0.146,1,first_pull,0
45bad,120,2002.870813397129,0.4637,0.5412,0.545,0.6055,51.7,6.7,0.146,1,first_pull,0
45bad,121,2019.561403508772,0.4632,0.5397,0.5438,0.6037,51.5,6.5,0.145,1,first_pull,0
45bad,122,2036.2519936204146,0.4629,0.5378,0.5437,0.6018,51.6,6.6,0.145,1,first_pull,0
45bad,123,2052.9425837320573,0.4627,0.5357,0.5436,0.5994,51.8,6.8,0.145,1,first_pull,0
45bad,124,2069.6331738437,0.4624,0.5334,0.5439,0.5967,52.1,7.1,0.145,0,first_pull,0
45bad,125,2086.3237639553427,0.4621,0.5307,0.5438,0.5934,52.5,7.5,0.144,0,first_pull,0
45bad,126,2103.0143540669856,0.4616,0.5283,0.5438,0.5902,53.0,8.0,0.144,0,first_pull,0
45bad,127,2119.7049441786285,0.4612,0.5262,0.5436,0.5869,53.6,8.6,0.143,0,first_pull,0
45bad,128,2136.395534290271,0.4603,0.5237,0.5432,0.5837,54.1,9.1,0.143,0,first_pull,0
45bad,129,2153.086124401914,0.4592,0.5202,0.5424,0.5803,54.2,9.2,0.143,0,first_pull,0
45bad,130,2169.7767145135567,0.4582,0.5158,0.5421,0.5767,54.0,9.0,0.145,0,first_pull,0
45bad,131,2186.467304625199,0.4576,0.5108,0.542,0.5731,53.6,8.6,0.147,0,first_pull,0
45bad,132,2203.157894736842,0.4574,0.5064,0.5421,0.5692,53.4,8.4,0.147,0,first_pull,0
45bad,133,2219.8484848484845,0.4576,0.5028,0.5421,0.5654,53.5,8.5,0.147,0,first_pull,0
45bad,134,2236.5390749601274,0.4576,0.4995,0.542,0.5616,53.7,8.7,0.146,0,first_pull,0
45bad,135,2253.2296650717703,0.4578,0.4949,0.5417,0.5586,52.8,7.8,0.148,0,first_pull,0
45bad,136,2269.920255183413,0.4584,0.4888,0.5417,0.5564,50.9,5.9,0.151,0,first_pull,0
45bad,137,2286.6108452950557,0.4593,0.4818,0.5417,0.5538,48.9,3.9,0.154,0,first_pull,0
45bad,138,2303.3014354066986,0.4605,0.4753,0.5419,0.5506,47.2,2.2,0.157,0,first_pull,0
45bad,139,2319.992025518341,0.4616,0.4675,0.542,0.5471,45.3,0.3,0.16,0,first_pull,0
45bad,140,2336.682615629984,0.4626,0.4614,0.5422,0.5433,44.1,0.9,0.162,0,first_pull,0
45bad,141,2353.373205741627,0.4638,0.456,0.5422,0.5411,42.6,2.4,0.164,0,first_pull,0
45bad,142,2370.0637958532693,0.465,0.4516,0.5421,0.5406,40.9,4.1,0.166,0,first_pull,0
45bad,143,2386.754385964912,0.4661,0.4476,0.5418,0.5407,39.1,5.9,0.169,0,first_pull,0
