video_id,frame_index,timestamp_ms,shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,lift_phase,low_visibility
24bad,0,0.0,0.9367,0.2924,0.9229,0.5081,3.7,41.3,0.23,0,clean_catch,0
24bad,1,16.72712933753943,0.9366,0.2926,0.9223,0.5072,3.8,41.2,0.229,0,clean_catch,0
24bad,2,33.45425867507886,0.9365,0.2929,0.9219,0.5066,3.9,41.1,0.228,0,clean_catch,0
24bad,3,50.18138801261829,0.9364,0.2933,0.9215,0.5063,4.0,41.0,0.228,0,clean_catch,0
24bad,4,66.90851735015772,0.9365,0.2939,0.9213,0.5067,4.1,40.9,0.228,0,clean_catch,0
24bad,5,83.63564668769716,0.9363,0.2946,0.9211,0.5069,4.1,40.9,0.228,0,clean_catch,0
24bad,6,100.36277602523658,0.936,0.2948,0.9208,0.507,4.1,40.9,0.227,0,clean_catch,0
24bad,7,117.08990536277602,0.9356,0.2947,0.9205,0.507,4.1,40.9,0.227,0,clean_catch,0
24bad,8,133.81703470031545,0.9351,0.2947,0.9201,0.507,4.1,40.9,0.227,0,clean_catch,0
24bad,9,150.54416403785487,0.9347,0.2947,0.9197,0.507,4.1,40.9,0.227,0,clean_catch,0
24bad,10,167.27129337539432,0.9346,0.2946,0.9194,0.507,4.1,40.9,0.228,0,clean_catch,0
24bad,11,183.99842271293375,0.9346,0.2948,0.9192,0.5068,4.2,40.8,0.227,0,clean_catch,0
24bad,12,200.72555205047317,0.9347,0.2951,0.9191,0.5068,4.2,40.8,0.227,0,clean_catch,0
24bad,13,217.45268138801262,0.9347,0.2954,0.919,0.5068,4.3,40.7,0.227,0,clean_catch,0
24bad,14,234.17981072555204,0.9346,0.2956,0.9188,0.5069,4.3,40.7,0.227,0,clean_catch,0
24bad,15,250.90694006309147,0.9345,0.2957,0.9186,0.507,4.3,40.7,0.227,0,clean_catch,0
24bad,16,267.6340694006309,0.9344,0.2957,0.9184,0.5071,4.3,40.7,0.227,0,clean_catch,0
24bad,17,284.36119873817034,0.9343,0.2958,0.9183,0.5073,4.3,40.7,0.227,0,clean_catch,0
24bad,18,301.08832807570974,0.934,0.2962,0.9182,0.5077,4.3,40.7,0.227,0,clean_catch,0
24bad,19,317.8154574132492,0.9335,0.2969,0.918,0.5083,4.2,40.8,0.227,0,clean_catch,0
24bad,20,334.54258675078864,0.9327,0.2974,0.9177,0.509,4.1,40.9,0.227,0,clean_catch,0
24bad,21,351.26971608832804,0.9317,0.2977,0.9174,0.5094,3.9,41.1,0.226,0,clean_catch,0
24bad,22,367.9968454258675,0.9307,0.2977,0.917,0.5094,3.7,41.3,0.225,0,clean_catch,0
24bad,23,384.72397476340694,0.9299,0.2973,0.9165,0.5092,3.6,41.4,0.225,0,clean_catch,0
24bad,24,401.45110410094634,0.9293,0.2971,0.9158,0.5092,3.7,41.3,0.226,0,clean_catch,0
24bad,25,418.1782334384858,0.9291,0.2968,0.9151,0.5092,3.8,41.2,0.226,0,clean_catch,0
24bad,26,434.90536277602524,0.929,0.2962,0.9144,0.5092,3.9,41.1,0.228,0,clean_catch,0
24bad,27,451.63249211356464,0.9289,0.2956,0.9139,0.5091,4.0,41.0,0.229,0,clean_catch,0
24bad,28,468.3596214511041,0.9287,0.2949,0.9135,0.509,4.1,40.9,0.229,0,clean_catch,0
24bad,29,485.0867507886435,0.9285,0.2947,0.9132,0.5089,4.1,40.9,0.23,0,clean_catch,0
24bad,30,501.81388012618294,0.9283,0.2948,0.913,0.509,4.1,40.9,0.229,0,clean_catch,0
24bad,31,518.5410094637224,0.9278,0.2951,0.9128,0.509,4.0,41.0,0.229,0,clean_catch,0
24bad,32,535.2681388012618,0.927,0.2952,0.9126,0.5091,3.9,41.1,0.228,0,clean_catch,0
24bad,33,551.9952681388012,0.926,0.2953,0.9122,0.509,3.7,41.3,0.228,0,clean_catch,0
24bad,34,568.7223974763407,0.9251,0.295,0.912,0.5086,3.5,41.5,0.227,0,clean_catch,0
24bad,35,585.4495268138801,0.9244,0.2949,0.9119,0.5081,3.4,41.6,0.226,0,clean_catch,0
24bad,36,602.1766561514195,0.9241,0.2947,0.9122,0.5076,3.2,41.8,0.225,0,clean_catch,0
24bad,37,618.903785488959,0.9239,0.2946,0.9124,0.5073,3.1,41.9,0.224,0,clean_catch,0
24bad,38,635.6309148264984,0.9236,0.2945,0.9125,0.5073,3.0,42.0,0.224,0,clean_catch,0
24bad,39,652.3580441640378,0.9232,0.2944,0.9123,0.5073,2.9,42.1,0.224,0,clean_catch,0
