frame_id,left_shoulder_x,left_shoulder_y,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_visibility,left_hip_x,left_hip_y,left_hip_visibility,right_hip_x,right_hip_y,right_hip_visibility,fps,low_visibility
0,0.4614415764808656,0.5589569807052615,0.0,0.4714006185531618,0.5345965027809145,0.0,0.5288104414939884,0.6136243343353273,0.0,0.5276060104370119,0.6036572456359866,0.0,59.917840375586856,1
1,0.4614415764808656,0.5589569807052615,0.0,0.47140061855316184,0.5345965027809145,0.0,0.5288104414939883,0.6136243343353273,0.0,0.527606010437012,0.6036572456359866,0.0,59.917840375586856,1
2,0.46144157648086565,0.5589569807052615,0.0,0.4714006185531619,0.5345965027809145,0.0,0.5288104414939883,0.6136243343353274,0.0,0.5276060104370122,0.6036572456359866,0.0,59.917840375586856,1
3,0.46144157648086587,0.5589569807052617,0.0,0.471400618553162,0.5345965027809148,0.0,0.5288104414939885,0.6136243343353276,0.0,0.5276060104370122,0.6036572456359868,0.0,59.917840375586856,1
4,0.46144157648086587,0.5589569807052617,0.0,0.471400618553162,0.5345965027809148,0.0,0.5288104414939885,0.6136243343353276,0.0,0.5276060104370122,0.6036572456359868,0.0,59.917840375586856,1
5,0.46144157648086587,0.5589569807052617,0.0,0.471400618553162,0.5345965027809148,0.0,0.5288104414939885,0.6136243343353276,0.0,0.5276060104370122,0.6036572456359868,0.0,59.917840375586856,1
6,0.4613577978951594,0.5587875332151144,0.0,0.47158401636850306,0.5343068752970018,0.0,0.5283287224315466,0.6139660676320399,0.0,0.5275836161204751,0.603710878463019,0.0,59.917840375586856,1
7,0.46136200002261607,0.5586153098515106,0.0,0.4713509920097536,0.5343845060893472,0.0,0.5288152325721018,0.6134320781344464,0.0,0.5276122348649165,0.6036307925269722,0.0,59.917840375586856,1
8,0.461794251487369,0.5593013876960395,0.9999866485595703,0.4708003685587932,0.5354828323636741,0.9997124075889587,0.5305041954630901,0.612381600198292,0.9994381070137024,0.5276642044385278,0.6036899146579566,0.9986069798469543,59.917840375586856,0
9,0.46245051707540274,0.5618483424186711,0.9999780058860779,0.4699331947735382,0.5376980531783335,0.9997010231018066,0.533047423476265,0.6111253017470955,0.9994325041770935,0.5276375554856805,0.603128748280662,0.9986673593521118,59.917840375586856,0
10,0.4631295516377407,0.5648451986767001,0.9999685883522034,0.46915468005907,0.541105014937265,0.9996704459190369,0.53555083558673,0.610597295420511,0.9993904232978821,0.527959627764566,0.6024461700802762,0.9986476898193359,59.917840375586856,0
11,0.4636062213352752,0.5685597828456338,0.9999628067016602,0.4683954956985659,0.5448259540966583,0.9996587038040161,0.5375349152655833,0.6109678773652945,0.9993476867675781,0.5284542469751271,0.6016007633436298,0.998630166053772,59.917840375586856,0
12,0.4637888669967655,0.5719084626152406,0.9999498724937439,0.46811466131891555,0.5476359299251016,0.9996253252029419,0.5382251285371331,0.612515563056583,0.9992882013320923,0.5295437914984571,0.6010216985430041,0.9985666275024414,59.917840375586856,0
13,0.46381910925819797,0.5738301929973426,0.9999305605888367,0.46767349612145237,0.5490053551537655,0.9995995163917542,0.5389754970868432,0.6137203545797443,0.9992148280143738,0.5306756922176911,0.6003377579507378,0.9984700083732605,59.917840375586856,0
14,0.4639887369814377,0.5752493909427103,0.9999135732650757,0.4672997068791166,0.5490841099194123,0.9995540380477905,0.5395066170465384,0.6150074714706062,0.9991115927696228,0.5317508890515286,0.5998243320555918,0.9982626438140869,59.917840375586856,0
15,0.46412836370014043,0.57678006376539,0.9998849034309387,0.466827199572609,0.5487706093561086,0.9995110630989075,0.5398437380790715,0.6164036932445713,0.9989327192306519,0.5324211376053951,0.5994854853266767,0.9979696273803711,59.917840375586856,0
16,0.4641897039754054,0.5773195113454551,0.9998572468757629,0.46659618758019983,0.5488598062878568,0.9994562864303589,0.5397284683727087,0.6179660785765879,0.9987518787384033,0.533096049513136,0.5995030062539242,0.9976722002029419,59.917840375586856,0
17,0.46416240362894007,0.5780233116376972,0.9998417496681213,0.466044705538523,0.5496310903912504,0.9994230270385742,0.5393531095413939,0.6190842560359415,0.9985584616661072,0.5327592037972955,0.6006655664671039,0.9973598122596741,59.917840375586856,0
18,0.464129209518433,0.5787349456832527,0.9998067021369934,0.4655536853131797,0.550628244876862,0.9993858933448792,0.53886357943217,0.6197146404357188,0.998144268989563,0.5321921422368008,0.602765023708344,0.9967590570449829,59.917840375586856,0
19,0.4640735203311561,0.5790281891822819,0.999803364276886,0.46508502960205117,0.551211311703637,0.9993898272514343,0.5385236598196488,0.6197154834156948,0.998187780380249,0.5313847661018376,0.6043360346839546,0.9967964887619019,59.917840375586856,0
20,0.4639812055088229,0.5794311109043307,0.9997841715812683,0.46483305522373786,0.5515238018262958,0.9993746280670166,0.5382536422638671,0.619531821636927,0.9981246590614319,0.5310100969814123,0.6053735074542823,0.9966942667961121,59.917840375586856,0
21,0.4638901310307643,0.5797051134563632,0.9997469782829285,0.4643998344739282,0.5518822329384945,0.9993369579315186,0.537914667810713,0.6194937910352438,0.9975631833076477,0.5307653092202691,0.6060411248888293,0.995976984500885,59.917840375586856,0
22,0.46380502978960714,0.5797361504463927,0.999708890914917,0.46411803222837944,0.5521452909424196,0.9993118047714233,0.5375952521959945,0.619538735775721,0.9971294403076172,0.5309442593937832,0.6058524023918883,0.9954929947853088,59.917840375586856,0
