video_id,lift_id,label,avg_spine_angle,max_lean_deviation,avg_postural_deviation,asymmetry_ratio,dominant_phase
10good,10good,0,15.181382978723404,44.8,0.16440744680851063,0.0455026455026455,clean_catch
11good,11good,0,5.312472647702408,41.0,0.2200689277899344,0.2975929978118162,clean_catch
12good,12good,0,4.265673289183223,43.3,0.2207461368653422,0.4359823399558499,clean_catch
13bad,13bad,1,6.03656462585034,40.9,0.22621428571428573,0.7159863945578231,clean_catch
14good,14good,0,4.051086956521739,43.1,0.2187381422924901,0.25691699604743085,clean_catch
16good,16good,0,5.119473684210527,44.8,0.17627105263157897,0.017105263157894738,clean_catch
17good,17good,0,2.8119536128456732,44.3,0.2178884924174844,0.2622658340767172,clean_catch
18bad,18bad,1,3.932595573440644,43.9,0.22627162977867205,0.0,clean_catch
19bad,19bad,1,1.5100494233937396,44.8,0.25257660626029654,0.03453947368421053,clean_catch
1bad,1bad,1,22.544545454545457,44.6,0.1615181818181818,0.09502262443438914,clean_catch
20good,20good,0,3.8247591522157998,43.1,0.21699807321772643,0.05973025048169557,clean_catch
21bad,21bad,1,2.141793893129771,44.8,0.28189885496183203,0.06297709923664122,clean_catch
22good,22good,0,4.692865497076023,42.9,0.22623742690058482,0.5964912280701754,clean_catch
23good,23good,0,3.765089877010407,44.4,0.2165316934720908,0.06149479659413434,clean_catch
24bad,24bad,1,4.458832807570978,43.5,0.2168722397476341,0.5378548895899053,clean_catch
25bad,25bad,1,14.000853658536586,44.6,0.19889268292682932,0.1385176184690158,clean_catch
26good,26good,0,4.727849185946872,43.7,0.22118166238217654,0.08740359897172237,clean_catch
27bad,27bad,1,4.714406779661017,41.7,0.22655423728813565,0.0065252854812398045,clean_catch
28good,28good,0,4.264929424538545,41.6,0.21862323561346367,0.0,clean_catch
29bad,29bad,1,5.4702492211838,42.0,0.22161526479750784,0.5311526479750779,clean_catch
2good,2good,0,3.0178797468354435,43.1,0.21232911392405066,0.004739336492890996,clean_catch
30good,30good,0,3.649246813441483,42.5,0.2227184241019699,0.039397450753186555,clean_catch
31bad,31bad,1,3.3883229813664597,44.6,0.2196521739130435,0.0037267080745341614,clean_catch
32good,32good,0,12.84857142857143,44.8,0.17973004926108374,0.0,clean_catch
33bad,33bad,1,14.204901960784314,38.3,0.20559313725490194,0.21568627450980393,clean_catch
34good,34good,0,20.06489241223103,28.6,0.2151030577576444,0.0,jerk_dip
35bad,35bad,1,3.4989981785063753,43.6,0.17947723132969035,0.0,clean_catch
36good,36good,0,2.4822804314329736,43.4,0.17963559322033895,0.0,clean_catch
37bad,37bad,1,2.318861209964413,43.9,0.22043772241992887,0.008896797153024912,clean_catch
38good,38good,0,11.785220125786163,44.0,0.20598322851153045,0.0010471204188481676,clean_catch
40bad,40bad,1,26.20778894472362,44.8,0.1676180904522613,0.05778894472361809,first_pull
41good,41good,0,5.017600896860985,41.3,0.2169686098654709,1.0,clean_catch
42good,42good,0,16.432625482625483,44.7,0.2029083011583012,0.39385206532180594,clean_catch
43good,43good,0,7.117254408060454,41.5,0.258816120906801,0.0,clean_catch
44good,44good,0,-2.8358715596330297,150.7,0.15739908256880733,0.21056977704376548,clean_catch
45bad,45bad,1,16.760928961748636,220.5,0.16582240437158466,0.4449760765550239,clean_catch
46good,46good,0,13.850248756218903,44.7,0.16103482587064674,0.21377672209026127,clean_catch
47good,47good,0,3.0486862442040183,42.9,0.19031993817619783,0.0,clean_catch
48good,48good,0,3.3399348003259988,44.8,0.18926731866340668,0.0,clean_catch
49good,49good,0,6.514840637450199,42.3,0.22266334661354584,0.05079681274900399,clean_catch
50good,50good,0,2.1066066066066065,44.8,0.18009234234234234,0.0,clean_catch
51good,51good,0,12.787298387096774,44.8,0.1694102822580645,0.03819784524975514,clean_catch
52good,52good,0,12.063676633444073,161.6,0.1935825027685493,0.012168141592920354,jerk_dip
53bad,53bad,1,5.16552217453505,44.8,0.1656137339055794,0.0,clean_catch
54bad,54bad,1,16.168812430632627,44.8,0.17177802441731407,0.22356828193832598,clean_catch
55good,55good,0,19.316942675159236,44.8,0.18848662420382167,0.1717557251908397,clean_catch
56good,56good,0,5.357375145180023,44.8,0.20919396051103367,0.07549361207897794,clean_catch
57bad,57bad,1,4.767892976588628,44.8,0.16311204013377925,0.23411371237458195,clean_catch
59bad,59bad,1,19.78448117539027,155.2,0.1858732782369146,0.33575317604355714,first_pull
5good,5good,0,5.017842323651452,43.5,0.2265587828492393,0.8603042876901799,clean_catch
60good,60good,0,20.25153617443013,44.8,0.16325173439048563,0.1600790513833992,clean_catch
61good,61good,0,3.4724503311258275,44.8,0.1938225165562914,0.12980132450331125,clean_catch
62bad,62bad,1,-17.380256821829853,222.4,0.1747833065810594,0.19936204146730463,jerk_drive
63good,63good,0,18.600871731008716,221.5,0.1618231631382316,0.3594306049822064,clean_catch
64good,64good,0,5.805246589716684,224.8,0.18192339979013641,0.3920570264765784,clean_catch
6good,6good,0,5.454927726675428,40.5,0.22633245729303553,1.0,clean_catch
7good,7good,0,6.481469115191986,223.1,0.13824040066777962,0.015873015873015872,clean_catch
8good,8good,0,3.9885674931129476,44.8,0.2340358126721763,0.0,clean_catch
9bad,9bad,1,3.6709737827715356,44.4,0.23451872659176032,0.09176029962546817,clean_catch
