video_id,view,label,n_frames_total,n_lift_phase_frames,lift_phase_duration_ms,used_full_video_fallback,mean_spine_angle,max_spine_angle,min_spine_angle,std_spine_angle,range_spine_angle,max_abs_spine_angle,mean_lean_deviation,max_lean_deviation,mean_postural_deviation,max_postural_deviation,shoulder_asymmetry_rate,low_visibility_rate
10good,side,0,315,67,8229.0,False,6.222302771855009,29.96857142857141,0.162857142857149,6.3561257940876175,29.80571428571426,29.96857142857141,38.77769722814496,44.83714285714284,0.17073763326226002,0.2433142857142856,0.1044776119402985,0.0
11good,side,0,305,49,7075.0,False,11.605422740524775,37.705714285714265,0.2400000000000091,13.220949589859242,37.465714285714256,37.705714285714265,33.394577259475206,44.759999999999984,0.18070612244897946,0.2110857142857141,0.04081632653061224,0.0
12good,side,0,302,55,10889.0,False,10.985064935064932,45.61714285714282,0.1314285714285574,14.678270975929419,45.48571428571426,45.61714285714282,34.02475324675323,44.86857142857141,0.1830394805194804,0.2276285714285713,0.05454545454545454,0.0
13bad,side,1,196,40,3663.0,False,14.449249999999996,36.68285714285713,0.8714285714285666,8.746034813528087,35.811428571428564,36.68285714285713,30.550749999999983,44.12857142857141,0.188227857142857,0.2414571428571427,0.1,0.0
14good,side,0,338,42,7076.0,False,19.078020732102427,170.05809523809535,-151.48857142857122,58.409172156248076,321.54666666666657,170.05809523809535,61.35735827664396,196.48857142857133,0.1420343537414965,0.2380285714285713,0.2857142857142857,0.0
16good,side,0,254,67,7677.0,False,8.704029850746267,33.93428571428569,0.3371428571428509,7.977837963571186,33.59714285714284,33.93428571428569,36.29597014925372,44.66285714285712,0.1771658848614071,0.1941142857142856,0.029850746268656716,0.0
17good,side,0,374,56,6775.0,False,4.952755102040816,10.90285714285713,0.7571428571428669,2.753840509835655,10.145714285714263,10.90285714285713,40.04724489795917,44.242857142857126,0.17182168367346926,0.2298285714285713,0.125,0.0
18bad,side,1,166,57,2810.0,False,11.70761904761904,38.5542857142857,1.6085714285714232,12.296250730258384,36.945714285714274,38.5542857142857,33.29238095238094,43.39142857142855,0.16651002506265652,0.1939714285714284,0.05263157894736842,0.0
19bad,side,1,203,39,6373.0,False,7.190549450549447,20.12285714285713,-0.1085714285714232,6.298979889580779,20.231428571428552,20.12285714285713,37.809450549450524,45.10857142857141,0.18448864468864457,0.259342857142857,0.02564102564102564,0.0
1good,side,0,74,17,803.0,False,12.542016806722767,172.39079365079374,-149.08507936507928,79.24860291422591,321.47587301587305,172.39079365079374,32.45798319327729,40.31999999999998,0.17968067226890744,0.1935714285714285,0.29411764705882354,0.0
20good,side,0,346,79,16259.0,False,8.931515370705238,36.56857142857143,1.674285714285702,9.07531766472486,34.89428571428573,36.56857142857143,36.068484629294744,43.32571428571427,0.19106365280289317,0.2380285714285713,0.05063291139240506,0.0
21bad,side,1,175,25,1204.0,False,3.2354285714285695,5.319999999999993,1.117142857142852,1.3737621790416925,4.202857142857141,5.319999999999993,41.76457142857141,43.88285714285712,0.21698857142857125,0.3004285714285712,0.04,0.0
22good,side,0,285,50,4516.0,False,11.916459220779215,35.069610389610375,0.1828571428571308,11.920807129217248,34.886753246753244,35.069610389610375,33.08354077922076,44.81714285714284,0.16368971428571422,0.1992857142857142,0.02,0.0
23good,side,0,353,51,7828.0,False,13.042997198879547,41.16285714285712,0.2400000000000091,15.284699191541524,40.92285714285711,41.16285714285712,31.948627450980375,44.75999999999998,0.18070448179271695,0.2161999999999999,0.09803921568627451,0.0
24bad,side,1,212,13,602.0,False,5.91340659340659,8.294285714285706,3.851428571428556,1.7844103794668333,4.44285714285715,8.294285714285706,39.086593406593394,41.14857142857141,0.21435824175824164,0.218542857142857,0.5384615384615384,0.0
25bad,side,1,275,37,3463.0,False,7.114594594594589,26.502857142857124,-0.4371428571428737,7.148554173806087,26.939999999999998,26.502857142857124,37.88540540540538,45.43714285714283,0.24296602316602303,0.4351142857142855,0.0,0.0
26good,side,0,389,78,3864.0,False,5.697930402930401,12.36571428571429,2.657142857142844,2.1724036999504133,9.708571428571446,12.36571428571429,37.01225274725274,42.34285714285712,0.16841678876678864,0.2304285714285713,0.02564102564102564,0.0
27bad,side,1,205,41,2007.0,False,5.894146341463413,12.81714285714284,1.0914285714285654,3.427559318609077,11.725714285714275,12.81714285714284,39.10585365853657,43.908571428571406,0.17337979094076644,0.2385999999999999,0.07317073170731707,0.0
28good,side,0,307,50,8279.0,False,10.927771428571424,33.54857142857142,0.9314285714285688,10.688786022731176,32.61714285714285,33.54857142857142,34.07222857142856,44.0685714285714,0.18974085714285704,0.2376571428571427,0.0,0.0
29bad,side,1,214,64,3162.0,False,23.01062499999999,40.84571428571428,1.171428571428578,14.257446304635884,39.6742857142857,40.84571428571428,21.98937499999999,43.82857142857141,0.18774419642857132,0.2269142857142856,0.21875,0.0
2good,side,0,211,30,5922.0,False,2.966666666666666,5.891428571428577,0.9799999999999898,1.544722888195041,4.911428571428587,5.891428571428577,42.0333333333333,44.01999999999998,0.18579238095238082,0.2299142857142856,0.06666666666666667,0.0
30good,side,0,288,79,9635.0,False,18.87875226039782,42.44857142857143,0.3914285714285768,17.875436423030884,42.05714285714285,42.44857142857143,26.121247739602154,44.60857142857141,0.17682790837854118,0.2299714285714284,0.02531645569620253,0.0
31bad,side,1,269,72,10889.0,False,11.219285714285709,50.33142857142855,1.3914285714285768,12.784924862155313,48.939999999999976,50.33142857142855,34.31867063492062,43.60857142857141,0.16106448412698401,0.2321142857142856,0.0,0.0
32good,side,0,339,67,9384.0,False,7.210874200426435,29.282857142857125,-0.037142857142868,7.898722852055396,29.319999999999993,29.282857142857125,37.78912579957354,45.03714285714284,0.15786183368869927,0.183742857142857,0.08955223880597014,0.0
33bad,side,1,68,36,1756.0,False,32.414841269841254,83.43142857142857,2.1457142857142912,25.40365481769372,81.28571428571428,83.43142857142857,26.917857142857134,42.854285714285695,0.17552142857142844,0.234142857142857,0.027777777777777776,0.0
36good,side,0,433,24,1154.0,False,15.896726190476182,29.88428571428571,3.7771428571428487,10.476721326247802,26.10714285714286,29.88428571428571,29.103273809523795,41.22285714285713,0.1577595238095237,0.197542857142857,0.0,0.0
37bad,side,1,188,24,1154.0,False,5.040833333333329,19.64571428571429,0.539999999999992,4.913103717570356,19.1057142857143,19.64571428571429,39.95916666666665,44.45999999999998,0.2545166666666665,0.3124857142857141,0.0,0.0
38good,side,0,319,47,8531.0,False,11.738905775075983,31.419999999999987,0.9428571428571502,12.02418892331945,30.477142857142837,31.419999999999987,33.261094224923994,44.05714285714284,0.19065471124620048,0.2347142857142856,0.0,0.0
40bad,side,1,133,18,853.0,False,6.802380952380951,15.97142857142856,0.037142857142868,5.478952875307827,15.934285714285693,15.97142857142856,38.197619047619035,44.96285714285712,0.18063650793650782,0.1986571428571427,0.1111111111111111,0.0
41good,side,0,298,45,11440.0,False,10.529841269841265,37.65714285714285,1.1285714285714334,11.343791475070871,36.52857142857142,37.65714285714285,34.470158730158715,43.87142857142855,0.18243904761904745,0.2258,0.1111111111111111,0.0
42good,side,0,347,52,10087.0,False,11.38516483516483,31.762857142857115,1.4085714285714346,9.50351593993602,30.35428571428568,31.762857142857115,33.61483516483515,43.59142857142855,0.18804945054945044,0.2326285714285713,0.019230769230769232,0.0
44good,side,0,404,112,9663.0,False,23.742113520407965,81.2314285714283,0.3199999999998226,25.193735383931887,80.91142857142847,81.2314285714283,33.97330739795917,44.67999999999998,0.169365937196307,0.2916742857142855,0.29464285714285715,0.33035714285714285
45bad,side,1,140,30,3505.0,False,15.480873015873197,66.42476190476214,0.3185714285716017,21.167738530089622,66.10619047619053,66.42476190476214,33.23541269841268,44.68142857142854,0.1479273015873015,0.1987999999999999,0.2,0.26666666666666666
46good,side,0,281,46,9063.0,False,10.939180124223597,33.657142857142844,0.585714285714289,10.280266158330171,33.071428571428555,33.657142857142844,34.06081987577637,44.4142857142857,0.16311559006211168,0.2036571428571427,0.043478260869565216,0.021739130434782608
48good,side,0,409,138,10346.0,False,11.426666666666517,142.2778571428571,-173.95142857142866,29.62862025174164,316.22928571428577,173.95142857142866,34.28245341614906,44.142857142857125,0.13862008281573487,0.2252857142857141,0.32608695652173914,0.0
49good,side,0,335,101,10064.0,False,7.6875530410183845,32.16571428571427,0.2314285714285802,6.812777877843448,31.934285714285693,32.16571428571427,37.31244695898159,44.768571428571406,0.15270862800565757,0.2153142857142856,0.019801980198019802,0.0
50good,side,0,444,93,19242.0,False,11.766774193548384,55.38571428571424,-0.1314285714285858,15.106535102957308,55.51714285714283,55.38571428571424,33.749723502304136,45.13142857142855,0.17796728110599067,0.2264857142857141,0.12903225806451613,0.0
51good,side,0,341,59,8161.0,False,11.543498789346243,35.53142857142856,0.0971428571428703,10.028828404054781,35.43428571428569,35.53142857142856,33.456501210653734,44.90285714285712,0.160077239709443,0.2158857142857141,0.01694915254237288,0.05084745762711865
52good,side,0,302,44,4448.0,False,8.607662337662518,20.580000000000155,-0.0599999999998317,6.700831256077053,20.639999999999986,20.580000000000155,36.392337662337646,45.05999999999998,0.2284472943722942,0.2892857142857141,0.22727272727272727,0.0
53bad,side,1,233,82,4049.0,False,8.058693379790936,39.79714285714283,0.1228571428571285,8.38917648874402,39.6742857142857,39.79714285714283,37.00416376306618,44.87714285714283,0.19571916376306608,0.2814571428571427,0.14634146341463414,0.0
54bad,side,1,303,118,11495.0,False,-0.6129782082324554,147.5777142857142,-178.4342857142858,47.944546138816186,326.012,178.4342857142858,51.70883777239707,223.4342857142856,0.20051622276029044,0.267142857142857,0.1864406779661017,0.0
55good,side,0,262,87,4298.0,False,7.2301149425287345,48.00285714285712,0.4485714285714266,9.072639387679304,47.55428571428569,48.00285714285712,37.90548440065679,44.55142857142855,0.21242183908045967,0.2269999999999999,0.0,0.0
56good,side,0,287,81,7647.0,False,4.637160493827157,31.282857142857125,0.1599999999999966,5.770283124238246,31.12285714285713,31.282857142857125,40.36283950617282,44.839999999999975,0.20698095238095224,0.231942857142857,0.04938271604938271,0.0
57bad,side,1,200,45,2199.0,False,3.4548571428567763,6.791428571428241,-1.0228571428574469,2.2362603457450456,7.814285714285688,6.791428571428241,41.46561904761903,46.02285714285712,0.21391428571428556,0.2741714285714284,0.24444444444444444,0.0
59bad,side,1,368,72,5698.0,False,3.722128684807095,160.61238095238087,-158.88095238095246,36.867249301412244,319.49333333333334,160.61238095238087,41.27787131519272,46.4142857142857,0.20621316137566123,0.2525714285714284,0.08333333333333333,0.041666666666666664
5good,side,0,241,59,6673.0,False,3.646198547215493,9.159999999999997,0.414285714285711,2.336364736869095,8.745714285714286,9.159999999999997,41.353801452784495,44.58571428571426,0.1818920096852299,0.2453999999999999,0.288135593220339,0.0
60good,side,0,338,101,7047.0,False,-7.479787835926447,37.56142857142856,-167.1257142857142,40.22568410435404,204.68714285714276,167.1257142857142,52.47978783592643,212.1257142857142,0.1758090523338047,0.2379714285714284,0.32673267326732675,0.0297029702970297
61good,side,0,252,106,9146.0,False,8.409784366576977,157.09795918367354,-150.81510204081627,27.99294475885833,307.9130612244898,157.09795918367354,36.69857142857141,44.46857142857141,0.19130202156334217,0.238142857142857,0.16037735849056603,0.0
62bad,side,1,209,15,699.0,False,7.730920634920832,13.923174603174743,1.9885714285716176,4.085174096682871,11.934603174603126,13.923174603174743,37.26907936507935,43.01142857142855,0.19092761904761893,0.2496571428571427,0.06666666666666667,0.13333333333333333
63good,side,0,281,75,3698.0,False,-16.331574603174484,179.7485714285715,-179.5057142857142,71.98343741345504,359.2542857142857,179.7485714285715,75.73157460317456,225.25142857142848,0.1557342857142856,0.2143714285714284,0.2,0.13333333333333333
64Good,side,0,328,66,5548.0,False,-17.28640692640679,179.96857142857152,-179.54571428571418,73.1044948118145,359.51428571428573,179.96857142857152,85.89012987012983,225.03142857142845,0.1423566378066377,0.2399714285714284,0.10606060606060606,0.12121212121212122
6good,side,0,254,47,12496.0,False,-28.40361702127649,147.65485714285728,-179.05428571428564,79.4588709381702,326.7091428571429,179.05428571428564,90.4893617021276,224.0542857142856,0.11629908814589658,0.2331142857142856,0.2553191489361702,0.0
7good,side,0,231,88,11341.0,False,-28.269168831168827,161.91020408163251,-175.59999999999997,65.59850696778983,337.5102040816325,175.59999999999997,85.54189610389606,220.60000000000005,0.1475496753246752,0.1962571428571428,0.06818181818181818,0.375
8good,side,0,242,61,3011.0,False,14.009039812646362,34.031428571428535,2.4771428571428658,11.86841774028502,31.55428571428567,34.031428571428535,30.99096018735362,42.52285714285712,0.18130491803278675,0.2399714285714284,0.0,0.0
9bad,side,1,178,41,6373.0,False,19.753449477351907,40.18285714285713,0.6599999999999966,15.174963781455494,39.522857142857134,40.18285714285713,25.246550522648064,44.339999999999975,0.1840708900855241,0.2497714285714284,0.07317073170731707,0.0
10good,front,0,337,75,7900.0,False,2.6236190476190457,6.688571428571436,0.2257142857142753,1.481838598967003,6.46285714285716,6.688571428571436,42.37638095238092,44.77428571428569,0.18879847619047602,0.2240857142857142,0.0,0.0
11good,front,0,418,64,7100.0,False,0.7990178571432125,2.308571428571668,0.2085714285717586,0.4737997725725479,2.0999999999999095,2.308571428571668,44.20098214285713,44.79142857142855,0.18432299107142847,0.2390571428571427,0.0,0.0
12good,front,0,319,60,7200.0,False,1.209666666666836,4.08857142857164,0.1142857142858702,0.8479707956025818,3.97428571428577,4.08857142857164,43.79033333333333,44.88571428571426,0.18133952380952367,0.2326285714285713,0.0,0.0
13bad,front,1,170,38,1850.0,False,0.5689473684210505,1.3714285714285666,0.1742857142857019,0.2775451214709899,1.1971428571428646,1.3714285714285666,44.43105263157892,44.82571428571426,0.16058045112781943,0.193942857142857,0.0,0.0
14good,front,0,380,95,9000.0,False,0.680225563909775,2.765714285714296,0.1828571428571308,0.5798003502857392,2.582857142857165,2.765714285714296,44.319774436090206,44.817142857142834,0.1733061654135337,0.2014857142857141,0.0,0.0
16good,front,0,286,71,7850.0,False,2.2661167002012053,10.3942857142857,0.1314285714285574,3.1138354483711557,10.262857142857143,10.3942857142857,42.73388329979878,44.8685714285714,0.1909814889336015,0.2311999999999999,0.0,0.0
17good,front,0,390,82,7750.0,False,0.7355749128919865,2.2914285714285825,0.1314285714285574,0.45015204786923046,2.160000000000025,2.2914285714285825,44.26442508710799,44.86857142857141,0.20527996515679425,0.2522571428571427,0.0,0.0
18bad,front,1,216,50,2450.0,False,0.5538857142858808,1.5200000000001523,0.1828571428573013,0.32120297103972456,1.337142857142851,1.5200000000001523,44.446114285714266,44.81714285714284,0.2064782857142856,0.2492571428571427,0.0,0.0
19bad,front,1,222,68,4900.0,False,-9.64518143621089,159.0337662337662,-177.8771428571431,54.41102115566128,336.9109090909093,177.8771428571431,70.28689266615733,222.8771428571428,0.18938554621848727,0.4819142857142854,0.1323529411764706,0.014705882352941176
1good,front,0,522,139,17301.0,False,4.26308324768786,56.78571428571468,0.1571428571432989,9.659849008193994,56.628571428571384,56.78571428571468,41.597732100034236,44.84285714285712,0.21233874614594025,0.283142857142857,0.04316546762589928,0.0
20good,front,0,364,67,7550.0,False,0.6129637526654166,2.022857142857333,0.1971428571430351,0.3873147262653414,1.825714285714298,2.022857142857333,44.387036247334734,44.80285714285712,0.1633773987206822,0.2023142857142856,0.0,0.0
21bad,front,1,204,64,5350.0,False,-3.141910714285715,8.208571428571418,-85.30228571428567,16.375321096681926,93.51085714285709,85.30228571428567,48.14191071428569,130.30228571428566,0.17633314732142846,0.2405714285714284,0.015625,0.0
22good,front,0,268,78,7850.0,False,1.7381227106227088,8.759999999999991,0.0428571428571444,2.324554481990595,8.717142857142846,8.759999999999991,43.26187728937727,44.957142857142834,0.20663107448107432,0.2455714285714284,0.0,0.0
23good,front,0,398,62,7650.0,False,1.1786635944702175,2.462857142857274,0.0942857142858883,0.6658011658421643,2.3685714285713857,2.462857142857274,43.821336405529934,44.90571428571427,0.18707834101382478,0.2318285714285713,0.0,0.0
24bad,front,1,235,47,2300.0,False,2.881519756838729,13.159999999999854,0.2342857142855336,3.004023741228034,12.92571428571432,13.159999999999854,42.11848024316107,44.76571428571427,0.1693209726443768,0.2172285714285713,0.0,0.0
25bad,front,1,292,61,3000.0,False,0.6527400468384063,1.6142857142856997,0.1228571428571285,0.3238676028182446,1.491428571428571,1.6142857142856997,44.34725995316158,44.87714285714283,0.15726978922716614,0.2009714285714284,0.0,0.0
26good,front,0,410,71,8858.0,False,0.7866599597587163,2.637142857143033,0.211428571428712,0.5601469998473741,2.425714285714321,2.637142857143033,44.21334004024143,44.7885714285714,0.16523834435182508,0.2007999999999999,0.0,0.0
27bad,front,1,250,59,8550.0,False,5.787578692494117,43.36857142857161,0.1571428571430146,10.921489415476902,43.2114285714286,43.36857142857161,39.349144471347856,44.84285714285713,0.17116529459241314,0.2225999999999999,0.01694915254237288,0.03389830508474576
28good,front,0,345,79,8200.0,False,1.5682459312840784,5.531428571428705,0.2257142857144458,1.1377968954786268,5.305714285714259,5.531428571428705,43.43175406871607,44.77428571428569,0.18863345388788416,0.2220571428571427,0.0,0.0
29bad,front,1,368,61,3002.0,False,1.4100702576114157,3.0114285714287234,0.2514285714287325,0.7087184191924824,2.759999999999991,3.0114285714287234,43.58992974238874,44.74857142857141,0.1778515222482434,0.2251142857142856,0.0,0.0
2good,front,0,237,50,2465.0,False,1.3983142857142832,4.217142857142846,0.1571428571428441,1.0640341511055305,4.060000000000002,4.217142857142846,43.60168571428569,44.84285714285712,0.22546742857142837,0.2732571428571427,0.0,0.0
30good,front,0,389,72,8300.0,False,1.7581051587303347,5.8314285714287735,0.3257142857144117,1.2927975805822585,5.505714285714362,5.8314285714287735,43.24189484126982,44.67428571428569,0.20710297619047605,0.2667999999999998,0.0,0.0
31bad,front,1,316,51,2500.0,False,0.766778711484593,2.405714285714282,0.1828571428571308,0.5059122165636504,2.2228571428571513,2.405714285714282,44.23322128851539,44.817142857142834,0.16860616246498586,0.217942857142857,0.0,0.0
