frame_id,left_wrist_x,left_wrist_y,left_visibility,right_wrist_x,right_wrist_y,right_visibility,bar_x,bar_y,frame_width,frame_height,video_id,x,y
0,0.6131764054298401,0.5644994378089905,0.9844812154769897,0.30216458439826965,0.5804710388183594,0.9753420948982239,0.45849533946741233,0.5726780941088996,1080,1920,front1,0.0004245327217290855,0.0002982698406817185
1,0.6132075190544128,0.5645269155502319,0.9850882887840271,0.30183500051498413,0.5804641246795654,0.97694993019104,0.4565064832568172,0.5724172932761058,1080,1920,front1,0.0004226911882007567,0.00029813400691463843
2,0.61326003074646,0.5635708570480347,0.9856123328208923,0.2961888909339905,0.580467939376831,0.9783040881156921,0.4542561907853402,0.5716445935623989,1080,1920,front1,0.0004206075840605002,0.0002977315591470828
3,0.6132829189300537,0.561950147151947,0.9861488342285156,0.29039326310157776,0.5786719918251038,0.9794669151306152,0.4517444620529814,0.570359994967779,1080,1920,front1,0.00041828190930831615,0.0002970624973790516
4,0.6133394241333008,0.5613629221916199,0.9866560101509094,0.28287196159362793,0.5757811069488525,0.9803972244262695,0.448350358577002,0.5683257423696069,1080,1920,front1,0.00041513922090463147,0.0002960029908175036
5,0.6132621169090271,0.5585586428642273,0.9872719645500183,0.27751612663269043,0.572744607925415,0.9811576008796692,0.44550051149867864,0.5659521761394687,1080,1920,front1,0.00041250047360988763,0.0002947667584059733
6,0.6129927635192871,0.5569936037063599,0.9880439043045044,0.27361124753952026,0.570643424987793,0.9818128347396851,0.44327699996176256,0.5636994483925052,1080,1920,front1,0.00041044166663126164,0.00029359346270442976
7,0.6126783490180969,0.5549672842025757,0.9887494444847107,0.2711041271686554,0.5684950947761536,0.9822739958763123,0.4419418594666893,0.5618846969945095,1080,1920,front1,0.0004092054254321197,0.00029264827968464036
8,0.612392246723175,0.5534444451332092,0.9894079566001892,0.27000612020492554,0.567552387714386,0.9825932383537292,0.4412277752444861,0.5606845872742794,1080,1920,front1,0.0004085442363374871,0.00029202322253868716
9,0.6122035384178162,0.5532546639442444,0.9900296926498413,0.27001410722732544,0.5666725635528564,0.9829704761505127,0.4410586229392464,0.5597381435689477,1080,1920,front1,0.00040838761383263556,0.00029153028310882693
10,0.6120412349700928,0.5522558689117432,0.9905884265899658,0.27070796489715576,0.5658870935440063,0.9834457635879517,0.44112671273095305,0.5590627477282574,1080,1920,front1,0.00040845065993606763,0.0002911785144418007
