frame_id,left_wrist_x,left_wrist_y,left_visibility,right_wrist_x,right_wrist_y,right_visibility,bar_x,bar_y,frame_width,frame_height,video_id,x,y
6,0.4553346037864685,0.6742016077041626,0.506863534450531,0.4582001268863678,0.6501055955886841,0.5632231831550598,0.44646416639997877,0.6904377476090479,1920,1080,side5,0.00023253341999998893,0.0006392942107491183
7,0.45430004596710205,0.6659913659095764,0.5539690852165222,0.4582430422306061,0.6396527886390686,0.526000440120697,0.4848908686212134,0.5643987655639652,1920,1080,side5,0.000252547327406882,0.0005225914495962641
1366,0.5643323063850403,0.38933950662612915,0.9879361987113953,0.5064715147018433,0.402662992477417,0.5150934457778931,0.5146275609731678,0.47011274525097474,1920,1080,side5,0.0002680351880068582,0.0004352895789360877
1367,0.5690359473228455,0.3866705596446991,0.9889276623725891,0.509792685508728,0.4052917957305908,0.5396674275398254,0.5356742434558419,0.4075796866700766,1920,1080,side5,0.00027899700179991765,0.00037738859876858944
1368,0.5736170411109924,0.3865489363670349,0.9898495674133301,0.5140026807785034,0.4060373902320862,0.562463641166687,0.5507110995905744,0.37237558904148316,1920,1080,side5,0.00028682869770342415,0.0003447922120754474
1369,0.5770933032035828,0.3892514407634735,0.9906395673751831,0.5171056985855103,0.40597882866859436,0.5816474556922913,0.5468534117653261,0.39686544594310613,1920,1080,side5,0.00028481948529444066,0.00036746800550287607
1370,0.5796160101890564,0.3897508680820465,0.9912406802177429,0.5189741253852844,0.4037148654460907,0.6031416654586792,0.5493799277714324,0.39615351529348497,1920,1080,side5,0.00028613537904762106,0.0003668088104569305
1371,0.5820469260215759,0.3866461217403412,0.9916751980781555,0.5203197598457336,0.4016547203063965,0.6259399652481079,0.5511495925131302,0.3947779444001973,1920,1080,side5,0.000287057079433922,0.0003655351337038864
1372,0.5840679407119751,0.38574114441871643,0.9920633435249329,0.5213256478309631,0.3999389111995697,0.6502863764762878,0.552623243558975,0.39306531491733765,1920,1080,side5,0.0002878246060202995,0.0003639493656642015
1373,0.5863149762153625,0.38499701023101807,0.992388904094696,0.5221604108810425,0.3989397883415222,0.6752908229827881,0.5543254259086795,0.39181069462072315,1920,1080,side5,0.00028871115932743724,0.0003627876802043733
1374,0.5894728899002075,0.3841600716114044,0.9925792813301086,0.523012101650238,0.39815768599510193,0.6970576047897339,0.5564945922011425,0.3910890363511588,1920,1080,side5,0.0002898409334380951,0.00036211947810292487
1375,0.5940536260604858,0.3831189274787903,0.9923833012580872,0.524675726890564,0.39754754304885864,0.7150472402572632,0.5592892879531501,0.39041887436594314,1920,1080,side5,0.0002912965041422657,0.00036149895774624367
1376,0.5991493463516235,0.38242509961128235,0.9918349385261536,0.5263702273368835,0.39730778336524963,0.7316051721572876,0.5626019452299396,0.3898751444759826,1920,1080,side5,0.00029302184647392684,0.0003609955041444283
1377,0.603817880153656,0.381975382566452,0.9913516044616699,0.5291104316711426,0.3968953788280487,0.746747612953186,0.5664995525564471,0.38941153103397036,1920,1080,side5,0.0002950518502898162,0.00036056623243886144
1378,0.6100673675537109,0.3816800117492676,0.9904448986053467,0.5311359763145447,0.39653947949409485,0.7618675827980042,0.5708756361688891,0.38905952728930004,1920,1080,side5,0.00029733106050462975,0.0003602403030456482
1379,0.6169717311859131,0.3815385103225708,0.9892387390136719,0.5347360372543335,0.39562931656837463,0.7764523029327393,0.5757659659499218,0.3887122755958924,1920,1080,side5,0.0002998781072655843,0.00035991877369990035
1380,0.6234973669052124,0.38153988122940063,0.9883700013160706,0.5386005640029907,0.3951564431190491,0.7907271385192871,0.5810287821860545,0.38845286411898505,1920,1080,side5,0.00030261915738857,0.00035967857788794913
1381,0.6310675144195557,0.3811769485473633,0.9873881340026855,0.5413609743118286,0.3944343030452728,0.8037213683128357,0.5862254386856447,0.38774464031060574,1920,1080,side5,0.00030532574931543995,0.0003590228151024127
1382,0.6383118033409119,0.38084152340888977,0.9868770837783813,0.5439995527267456,0.393025666475296,0.8159700036048889,0.5908932189146683,0.3866430123647058,1920,1080,side5,0.0003077568848513897,0.00035800278922657944
1383,0.6446483135223389,0.37848183512687683,0.9869925379753113,0.5458425283432007,0.39004164934158325,0.8282288312911987,0.5953025491464711,0.3843756034260708,1920,1080,side5,0.000310053411013787,0.00035590333650562114
1384,0.6498340368270874,0.37566646933555603,0.9871854782104492,0.5482538938522339,0.38834348320961,0.8397770524024963,0.5992119170370561,0.3815330139228279,1920,1080,side5,0.0003120895401234667,0.0003532713091878036
1385,0.6561347842216492,0.3722801208496094,0.9873040914535522,0.5505263805389404,0.38304758071899414,0.8511497974395752,0.6030109297661559,0.37839667215233785,1920,1080,side5,0.0003140681925865395,0.0003503672890299425
1386,0.6608085036277771,0.37016773223876953,0.9874513745307922,0.5522903203964233,0.38112032413482666,0.8608127236366272,0.6069729626178745,0.37557986165796026,1920,1080,side5,0.0003161317513634763,0.000347759131164778
1387,0.667048990726471,0.3674570918083191,0.987923800945282,0.5549513101577759,0.37805962562561035,0.8700256943702698,0.6109552660158706,0.37281246802636575,1920,1080,side5,0.00031820586771659926,0.00034519672965404235
1388,0.6723552942276001,0.36597198247909546,0.9883065819740295,0.5577148795127869,0.3744319975376129,0.8787515163421631,0.614957839960144,0.3700944912575542,1920,1080,side5,0.00032029054164590834,0.0003426800844977354
