video_id,lift_id,label,max_deviation,avg_deviation,path_smoothness,peak_vertical_velocity,time_to_peak_velocity,total_displacement,jerk_like_movements
10good,10good,0,0.0003216654075488,0.0001967652769837931,5.2434448276735e-08,3.341640907794253e-06,0.028600612870275793,0.002488328709966757,397
11good,11good,0,0.0004226638063751,0.00020289864864780772,6.327971932896648e-08,1.6758924121268516e-06,0.09847198641765705,0.003327185592743704,455
12good,12good,0,0.0003621566721576,0.00018520385944735215,5.90686837917794e-08,2.145722906893326e-06,0.11449579831932773,0.002593546103456236,341
13bad,13bad,1,0.0003030868019221,9.618856136120566e-05,2.20915172449302e-08,9.788372046185972e-07,0.7145669291338582,0.0009416951843978734,204
14good,14good,0,0.0003413206758855,0.00019021360862882966,2.2680900581015118e-08,1.355268053832141e-06,0.960352422907489,0.0018248056283897513,479
16good,16good,0,0.0003434508687825,0.0001688531212553434,2.925217085510341e-08,1.5010648371375835e-06,0.897316219369895,0.0019110984898896913,297
17good,17good,0,0.0004213724388649,0.00023618029903355823,3.938019732170288e-08,1.5053291678714887e-06,0.9402319357716324,0.0024682435146258274,434
18bad,18bad,1,0.0003341113188276,0.0001675149678827412,3.9876239691311835e-08,1.1757708996507646e-06,0.04866562009419152,0.0018224597295751813,232
19bad,19bad,1,0.0003589266849344,0.00011408273583824857,5.627634926258538e-08,4.054596073016901e-06,0.8935185185185185,0.0020584893454872904,270
1bad,1bad,1,2.2257685251282056e-05,8.767233344128252e-07,6.4077174705935525e-09,6.801692273546722e-07,0.001834862385321101,8.881712590963194e-05,190
20good,20good,0,0.0003515539371967,0.00018446890278279987,1.7838161323060423e-08,1.3570718723010627e-06,0.9624197983501375,0.0016444184586193304,410
21bad,21bad,1,0.0003663380155355,0.00013006706378926105,4.540304657630313e-08,1.323475729345644e-06,0.7901639344262295,0.0018551147243555262,248
22good,22good,0,0.0003898415783604,0.0001881393685848171,3.2533836233078234e-08,1.5062023332287188e-06,0.9712858926342073,0.0019369237363027073,294
23good,23good,0,0.0004359805736923,0.00021652470558271387,3.659623229100582e-08,1.6245903602486557e-06,0.90360435875943,0.002566474231871501,445
24bad,24bad,1,0.000223083132425,9.028710897851745e-05,9.507051532851434e-08,2.2693643478558148e-06,0.44623655913978494,0.001465627610711155,115
